name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Kyle Stewart,0,1,68,23,64,0.36,0,8,0,NA,NA,0,300,170,7,0,-140,120
Kyle Watson,1,1,113,48.5,138,0.35,0,7.5,0,NA,NA,0,193.5,155,4.5,5,-10,-5
Kyler Phillips,1,0,112,89,168,0.53,2,4,0.5,NA,NA,0,300,135,0,1,-130,110
Kyoji Horiguchi,7,1,1206,50.75,112.5,0.45,1.88,4.25,0.44,0,324.5,8,282.25,125,2.12,5.12,-432.5,328.75
Kyung Ho Kang,5,1,465,38.33,81.17,0.47,1.33,2.17,0.62,2.67,480.33,2,277.5,135,0.83,4.83,-156.67,121.67
Lance Benoist,2,2,420,55.25,108,0.51,1.5,4.5,0.33,NA,NA,1,300,170,2,8,-55,-63.75
Lando Vannata,3,4,387,45.71,102,0.45,0.43,1.71,0.25,0.25,97.67,2,248.14,155,2.14,4.29,-280,210
Lara Procopio,0,1,169,165,290,0.57,0,5,0,NA,NA,0,300,135,0,1,-115,-105
Larissa Pacheco,0,2,24,7,36.5,0.19,0,0.5,0,0,19,0,197.5,135,6,6.5,-117.5,107.5
Laureano Staropoli,2,1,204,64.33,205,0.31,0.33,1.33,0.25,0,16,0,300,170,2.33,7,-63.33,43.33
Lauren Mueller,1,3,262,44,115.5,0.38,0.75,1,0.75,0,249,0,285,125,1,2.75,106.25,-136.25
Lauren Murphy,4,3,1476,57.29,142.57,0.4,1,3,0.33,0,391.5,2,271.57,125,1.43,2.71,-112.86,64.29
Lavar Johnson,2,2,289,36,55.5,0.65,0.25,0.25,1,NA,NA,2,226.75,265,3.25,5.25,-138.75,78.75
Leah Letson,1,0,88,73,179,0.41,0,1,0,NA,NA,0,300,145,0,1,170,-200
Leandro Issa,1,3,149,26.5,77.25,0.34,2,10.5,0.19,2,397.67,0,282,135,3,4.5,-103.75,83.75
Leandro Silva,2,4,658,35.83,74.33,0.48,1.5,4.5,0.33,0.2,380.2,0,300,155,3.83,2.17,-163.33,100
Leo Kuntz,0,2,85,19,58,0.33,1.5,6,0.25,NA,NA,0,229,155,2,4,-115,35
Leon Edwards,10,2,707,38.58,80.67,0.48,1.42,4.5,0.31,0.71,467.09,4,265.67,170,4.67,4.42,-65.83,17.5
Leonard Garcia,1,5,345,47.5,208,0.23,0.67,1.67,0.4,0,64,1,299.83,145,1.83,5.83,50.83,-74.5
Leonardo Mafra,1,3,726,40.25,83,0.48,1.25,1.5,0.83,0.33,413,0,155.75,155,4.5,2.5,-202.5,177.5
Leonardo Morales,0,1,3,3,4,0.75,0,0,NA,NA,NA,0,154,135,3,2,150,-170
Leonardo Santos,5,0,149,23,54.2,0.42,0.8,1.6,0.5,0.25,134.25,2,218.4,155,3,8.4,143,-197
Leslie Smith,4,2,523,79.17,195.67,0.4,0,0.83,0,0,78.67,2,217.83,135,2.17,4.17,-90,60.83
Levan Makashvili,1,1,129,32,61,0.52,4.5,10.5,0.43,NA,NA,0,300,145,3.5,3.5,87.5,-132.5
Lewis Gonzalez,0,1,53,21,56,0.38,2,6,0.33,NA,NA,0,300,170,2,2,-190,165
Li Jingliang,7,4,588,46.82,115.09,0.41,0.82,2.09,0.39,0,132.87,5,236.09,170,2.82,2.55,-68.45,37.55
Liana Jojua,0,1,45,19,45,0.42,2,3,0.67,NA,NA,0,146,135,4,6,-155,135
Lina Lansberg,4,2,463,38.83,65.83,0.59,0.83,2.33,0.36,0,636.67,0,275.5,135,1,7.33,-169.17,116.67
Lisa Ellis,0,1,8,7,17,0.41,1,3,0.33,NA,NA,0,249,115,2,6,-220,180
Livinha Souza,2,0,85,16.5,41.5,0.4,2.5,5.5,0.45,NA,NA,0,190.5,115,1,7.5,-865,595
Liz Carmouche,4,4,1664,30.5,55.38,0.55,2.5,4.12,0.61,1,520.25,0,290.75,125,1.88,4.38,-343.75,223.75
Loma Lookboonmee,0,1,68,53,130,0.41,1,1,1,NA,NA,0,300,115,2,11,155,-175
Lorenz Larkin,4,4,744,41.12,90.62,0.45,0.12,0.5,0.25,0,65.67,6,259,170,3.25,2.62,5.88,-51
Louis Gaudinot,1,3,364,30.5,82,0.37,0.5,1.25,0.4,2.33,79.33,0,253,125,4.25,4,33.75,-67.5
Louis Smolka,6,6,1394,45.33,98.58,0.46,1.08,3.17,0.34,3.03,408.97,4,247.67,135,2.75,4.58,10,-38.08
Luan Chagas,0,1,44,41,101,0.41,1,4,0.25,NA,NA,2,237,170,14,9,130,-150
Luana Carolina,1,0,126,111,231,0.48,0,0,NA,NA,NA,1,300,125,3,5,-170,150
Lucas Martins,2,3,322,27.4,77.4,0.35,0,0.2,0,0.5,19.67,4,125.8,145,1.8,2.6,-71,34
Lucie Pudilova,2,4,1036,61.83,159.5,0.39,0.17,1.33,0.12,NA,NA,4,263.33,125,0.83,8.67,-99.17,36.67
Lucio Linhares,0,1,9,8,44,0.18,0,2,0,NA,NA,0,167,185,5,8,-650,475
Luigi Vendramini,0,1,7,4,17,0.24,0,5,0,NA,NA,0,80,170,7,9,-1000,650
Luis Henrique,1,3,434,17.25,34.25,0.5,2.25,8.75,0.26,1.5,728,0,234.25,205,1.5,7,-78.75,8.75
Luis Pena,4,2,648,41.33,88.33,0.47,0.83,2.83,0.29,1.67,678.33,2,247.67,155,2,3.5,-47.5,5.83
Luis Ramos,0,2,30,12,34,0.35,0.5,2.5,0.2,NA,NA,0,150,170,12,2,-217.5,200
Luiz Cane,1,3,238,25.75,64.5,0.4,0.25,1.25,0.2,NA,NA,4,205.25,185,1.5,3.5,-220,192.5
Luiz Dutra,0,2,45,15.5,30.5,0.51,0,1,0,0,45,0,237.5,170,1.5,5,137.5,-157.5
Lukasz Sajewski,0,3,77,20.33,56.67,0.36,0.67,2.67,0.25,0,263.5,0,292.33,155,3,4,-56.67,21.67
Luke Barnatt,3,3,389,52.83,145,0.36,0.5,1.17,0.43,0.4,30.6,2,266,185,1.33,4.5,-136.67,105.83
Luke Jumeau,2,2,200,44,100.75,0.44,0.25,0.25,1,0,160,0,300,170,0.5,1.75,162.5,-191.25
Luke Rockhold,5,4,764,34.78,63.56,0.55,0.56,1.78,0.31,1.35,229.1,2,149.78,205,4.44,4.56,-305.56,187.22
Luke Sanders,3,2,602,48.2,92.8,0.52,0.2,0.8,0.25,0.33,176.33,6,167.6,135,2.2,3,-128,87
Luke Zachrich,1,2,93,30.67,94.33,0.33,0.33,1,0.33,0,0.5,0,203.67,185,2,4.67,-141.67,118.33
Lyman Good,3,2,243,42.4,85.8,0.49,0.2,0.2,1,0,30.33,3,178,170,2.4,2.4,-173,78
Lyoto Machida,8,7,722,22.33,49.73,0.45,0.27,0.4,0.67,0,50.39,10,189.93,185,2.47,5.8,-217.13,180.67
Mac Danzig,2,5,551,40.71,75.29,0.54,0.86,2.71,0.32,0.5,270.92,1,226.57,155,1.43,3.86,-79.57,37.43
Maciej Jewtuszko,0,1,45,30,67,0.45,0,0,NA,NA,NA,0,300,155,1,NA,-155,135
Mackens Semerzier,1,0,24,9,10,0.9,3,5,0.6,NA,NA,0,198,145,8,8,190,-210
Mackenzie Dern,2,1,142,35,106.67,0.33,0.33,4,0.08,1.5,355.5,1,249,115,1.33,2.33,-18.33,-36.67
Macy Chiasson,3,1,319,45,82,0.55,0.75,3,0.25,0,379.33,1,212.75,135,0.75,4.25,-378.75,217.5
Mads Burnell,1,2,384,16.67,40,0.42,3,6.33,0.47,1,795,0,182.33,145,3.67,5.33,-156.67,111.67
Magnus Cedenblad,4,2,379,18.67,36.5,0.51,1.5,2.33,0.64,1.25,382,1,170.83,185,1.5,3.67,-149.17,92.5
Magomed Ankalaev,4,1,266,30.6,53.8,0.57,0.4,1.2,0.33,0,429,3,171,205,0.8,3,-73,-30
Magomed Mustafaev,2,2,115,21,37,0.57,2,4,0.5,NA,NA,1,222.25,155,0.75,2.75,93.75,-123.75
Maia Stevenson,0,1,11,6,11,0.55,1,1,1,NA,NA,0,230,115,0,11,350,-440
Maiquel Falcao,1,0,54,25,45,0.56,1,1,1,NA,NA,1,300,185,0,1,-250,230
Mairbek Taisumov,7,2,264,25.89,66.11,0.39,0.78,1.22,0.64,0,119.62,4,188.56,155,1.67,3.33,-346.11,277.56
Makhmud Muradov,2,0,147,72.5,176,0.41,0.5,2,0.25,1,45,1,274.5,185,3.5,4.5,-177.5,117.5
Maki Pitolo,0,1,103,60,155,0.39,0,2,0,NA,NA,0,300,170,0,6,325,-400
Makwan Amirkhani,5,2,165,16.14,34.29,0.47,2.29,6.57,0.35,2.3,373,1,220.86,145,1.29,2.57,-130,77.86
Manny Bermudez,3,1,162,12.25,20.25,0.6,0.75,1.75,0.43,NA,NA,2,141.75,145,0.75,5,186.25,-220
Manvel Gamburyan,3,5,570,24.62,58.5,0.42,2.25,8.12,0.28,1,278.25,2,234.88,135,3.75,3.25,-8.12,-25
Mara Romero Borella,2,2,199,19.25,53.25,0.36,1.25,2.75,0.45,0.5,336,0,220,125,1.5,4.5,101.25,-136.25
Marc Diakiese,5,2,321,34.29,93,0.37,2,4.86,0.41,0,306.75,2,221.71,155,1.29,3.14,85,-112.86
Marc-Andre Barriault,0,1,76,69,130,0.53,0,1,0,NA,NA,0,300,185,4,1,140,-160
Marcel Fortuna,1,2,288,42.33,91,0.47,0.33,4,0.08,NA,NA,2,263.33,205,1,3.67,-81.67,46.67
Marcelo Golm,1,2,111,27.67,52,0.53,0.33,0.67,0.5,1,96,0,164.67,265,0.33,6,-241.67,205
Marcelo Guimaraes,2,2,598,52.75,101.5,0.52,1.5,10.75,0.14,0,469.33,0,227.25,185,0.75,4.25,-69.25,32.5
Marcin Bandel,0,2,8,3,6,0.5,0,2.5,0,0,95,0,78,155,3,0.5,-7.5,-7.5
Marcin Held,1,3,210,25.75,78.75,0.33,3,5.25,0.57,1.5,697,0,226.75,155,0.5,6.5,-133.75,90
Marcin Prachnio,0,2,39,9,23,0.39,0,0,NA,NA,NA,0,226,205,4,3,-190,105
Marcin Tybura,5,4,748,44.22,87.11,0.51,1.33,2.56,0.52,0.25,474.85,1,211.22,265,3.44,5.56,-69.44,-1.11
Marcin Wrzosek,0,1,124,52,119,0.44,3,12,0.25,NA,NA,0,300,155,1,2,105,-125
Marcio Alexandre Junior,0,2,88,29.5,64,0.46,0.5,2,0.25,1,111,0,300,170,3.5,5.5,-2.5,-12.5
Marco Beltran,2,1,292,28.33,73,0.39,0.67,1.67,0.4,0.5,198,2,261.33,125,0.67,4.33,61.67,-81.67
Marco Polo Reyes,0,2,24,5.5,12,0.46,0,0.5,0,0,0,0,81.5,145,5,5.5,-267.5,115
Marcos Mariano,0,1,4,3,9,0.33,0,0,NA,NA,NA,0,295,155,2,5,-450,360
Marcos Rogerio de Lima,4,4,446,14.25,26,0.55,0.38,0.62,0.6,0.4,297.53,6,134.25,265,2.25,3.75,-186.25,138.75
Marcos Vinicius,0,2,100,15.5,31,0.5,0,0,NA,1,161,0,134,125,2,4.5,25,-50
Marcus Brimage,4,4,702,39.88,112,0.36,0.38,0.38,1,0,23.67,4,228,135,1.5,2.75,89.25,-118.62
Marcus Davis,1,2,270,26.67,98.67,0.27,1,1.67,0.6,1,183.5,6,159.33,155,4.33,10.33,-310,258.33
Marcus LeVesseur,1,2,128,23,35.67,0.64,2.33,6.33,0.37,1,508,0,240.33,155,2,2.33,-41.67,26.67
Marina Rodriguez,2,0,227,101,184.5,0.55,0.5,2.5,0.2,1,325,1,300,115,3.5,3.5,-255,215
Mario Bautista,2,1,207,52,115,0.45,0.33,1,0.33,0,84,1,204,135,1,0.67,-169,119
Mario Miranda,0,3,122,14.67,32,0.46,0,0.67,0,0,129.5,1,296.33,185,8.33,2.33,-63.33,38.33
Marion Reneau,5,3,444,39,99.12,0.39,0.25,0.25,1,2.73,179.8,0,251.38,135,1.38,8.75,-222.5,166
Mark Bocek,3,3,364,29.33,58,0.51,3.17,8.17,0.39,1.8,967.4,0,275.5,155,3.67,2.83,-95.33,75.33
Mark De La Rosa,2,4,560,37.33,103,0.36,0.5,3.17,0.16,0.33,116.33,0,233.83,125,2.33,3.17,-108.33,77.17
Mark Eddiva,1,2,184,28.33,57.67,0.49,1.33,5.33,0.25,0,345.5,0,228,145,2.67,2.67,-93.33,50
Mark Godbeer,2,2,189,31,57.5,0.54,0,0.5,0,0,146,0,243.5,265,2.25,4.5,-108.75,76.25
Mark Holst,0,2,12,2.5,13,0.19,0.5,0.5,1,NA,NA,0,292.5,155,1,5,-192.5,165
Mark Hominick,1,4,350,45.8,94.8,0.48,0.4,0.6,0.67,0,274.75,3,199,145,1.4,2.8,-414,363.6
Mark Hunt,7,8,392,21.07,53.53,0.39,0.2,0.27,0.75,0,65.94,8,183.6,265,2.4,7.47,-130.67,88.53
Mark Madsen,2,0,44,18.5,43.5,0.43,4.5,7,0.64,NA,NA,0,186,155,0,8.5,-407.5,322.5
Mark Munoz,6,5,407,24.73,49.18,0.5,1.82,6.09,0.3,0.43,310,2,213.45,185,2.82,4.45,37.27,-53.18
Mark Scanlon,0,1,62,33,94,0.35,3,4,0.75,NA,NA,0,300,170,1,NA,-230,190
Markus Perez,2,3,196,30.6,62.8,0.49,0.8,3,0.27,1.5,173.67,0,247,185,1.4,2.8,-132,91
Marlon Moraes,5,2,236,32.71,83.29,0.39,0.29,1.14,0.25,0.4,45,4,212.57,135,1.86,3.14,-21.43,2.86
Marlon Vera,6,4,376,32.5,70.4,0.46,0.5,1.1,0.45,2.25,144.67,2,205.1,135,2.9,6.4,-118,75.5
Martin Bravo,0,3,203,55,146,0.38,1.67,4.67,0.36,0,240,0,139,145,6,3,-191.67,161.67
Martin Kampmann,4,4,354,33.62,88.75,0.38,1.38,4.38,0.31,NA,NA,2,206.5,170,2.62,1.88,-142.88,129.62
Martin Svensson,0,1,17,13,34,0.38,0,4,0,NA,NA,0,86,155,2,4,-115,-105
Marvin Vettori,4,1,383,57.6,136.4,0.42,1.6,3.6,0.44,0.33,236.67,0,294,185,3.2,8.4,-75,30
Maryna Moroz,4,2,1002,64.33,209.17,0.31,0.67,3.67,0.18,0.25,418.25,0,300,125,1.83,4.17,-147.5,122.5
Masanori Kanehara,1,2,315,23.67,43.33,0.55,1.33,2,0.67,NA,NA,0,243,135,7.33,5.33,-260,193.33
Masio Fullen,1,2,100,26,81,0.32,0.33,1,0.33,0,100.5,0,233.67,145,2.33,2,-148.33,123.33
Matheus Nicolau,3,1,496,45.25,87.5,0.52,1.5,2.25,0.67,NA,NA,10,259,125,4.25,3.75,91.25,-117.5
Mats Nilsson,0,2,174,29,74,0.39,2.5,3,0.83,NA,NA,0,282,170,0.5,4.5,-315,265
Matt Bessette,0,2,143,50,143.5,0.35,0,1.5,0,NA,NA,0,300,145,1,5.5,60,-92.5
Matt Brown,11,8,956,35.58,67.16,0.53,1.16,2.53,0.46,1.49,191.68,6,188.79,170,4.84,3.16,-136.05,105.42
Matt Dwyer,0,3,84,25,73.33,0.34,0.33,3,0.11,0,181.5,1,221,170,2.33,3.67,-271.67,215
Matt Frevola,2,0,100,39.5,93.5,0.42,4,10,0.4,2,480,0,300,155,0,4,-17.5,-2.5
Matt Grice,1,2,245,49.67,101.67,0.49,1.67,6.67,0.25,NA,NA,1,293.67,145,5.33,2.67,-233.33,208.33
Matt Hamill,3,2,386,59,138.4,0.43,2.8,8,0.35,0,316.33,0,282.8,205,3,4.2,-55.4,35.4
Matt Hobar,1,1,127,35,63.5,0.55,3,4.5,0.67,NA,NA,0,233.5,135,4,1.5,-75,55
Matt Hughes,2,1,76,25,48.33,0.52,0,0.33,0,NA,NA,3,165.33,170,1.33,5,-2.33,-22.67
Matt Lucas,0,1,48,19,39,0.49,1,10,0.1,NA,NA,0,300,205,0,NA,-120,110
Matt Mitrione,8,5,343,23,45.46,0.51,0,0.15,0,0.5,43.88,8,198.15,265,3.15,4.46,-28.31,-1.31
Matt Sayles,1,2,191,51.33,128.67,0.4,0,1,0,0.5,150.5,0,252,145,0.67,2,45,-66.67
Matt Schnell,4,3,446,25.14,71.43,0.35,0.29,0.86,0.33,1.3,14.8,0,232.71,125,2.57,2.71,-80.86,58.43
Matt Serra,0,1,133,124,298,0.42,0,1,0,NA,NA,0,300,170,3,0,125,-135
Matt Van Buren,0,1,115,100,212,0.47,0,0,NA,NA,NA,0,131,205,1,3,215,-235
Matt Veach,0,1,9,4,9,0.44,1,1,1,NA,NA,0,221,155,2,3,220,-260
Matt Wiman,5,4,442,35.78,68.56,0.52,1,3.44,0.29,1.5,385.33,0,244.22,155,2.33,4.89,-124.11,55.78
Matthew Lopez,2,4,285,35.33,69.33,0.51,2.5,4.17,0.6,2.8,354.4,0,228,135,1.5,4,-121.67,28.33
Matthew Riddle,4,2,490,44.83,133.5,0.34,2.33,3.83,0.61,0.2,652.8,0,259.83,170,1.33,3.5,-182.5,147.17
Maurice Greene,3,2,168,27.4,62,0.44,0,0,NA,0.25,67.75,2,212.2,265,1.6,4.6,52,-78
Mauricio Rua,8,7,842,35.67,69.4,0.51,1.2,2.47,0.49,0.14,190,11,173.33,205,3.27,5.53,-57.2,30.53
Max Griffin,3,6,596,50.89,103,0.49,1.67,3,0.56,1.64,357.43,4,254.67,170,1.78,3.22,-110.56,79.44
Max Holloway,16,5,4220,92.71,209.67,0.44,0.24,0.29,0.83,0.76,81.04,16,262.86,145,4.71,4.81,-165.48,117.38
Maximo Blanco,4,5,459,36.78,82.44,0.45,1.22,3.33,0.37,0.5,161.33,2,197.56,145,1.78,3,69.11,-85.78
Maycee Barber,3,1,404,43.25,76.5,0.57,0.25,1.25,0.2,1,215,0,196.5,125,0.75,7.75,-65,-17.5
Mayra Bueno Silva,1,1,104,49.5,89,0.56,0,0,NA,NA,NA,0,297.5,125,2,2,-10,-5
Megan Anderson,3,2,110,9.8,21,0.47,0.2,0.6,0.33,0.33,73,1,202.6,145,1.4,4.6,-232,193
Mehdi Baghdad,0,2,66,30.5,99,0.31,0,0.5,0,NA,NA,1,285,155,6,1,-300,242.5
Melinda Fabian,0,1,79,72,173,0.42,0,1,0,NA,NA,0,300,125,4,2,-170,150
Melvin Guillard,6,5,356,27.73,66.18,0.42,0.09,0.36,0.25,0.12,34.17,7,199.27,155,4.64,2.36,-152.73,109.09
Merab Dvalishvili,3,2,720,57.6,155.2,0.37,7.8,17.2,0.45,0,867.17,1,300,135,1.2,3.4,-41,-41
Michael Bisping,12,6,1378,64.83,172.61,0.38,0.44,1.83,0.24,0,109.38,5,229.39,185,5.78,4.39,-243.89,198.22
Michael Chiesa,8,4,1092,20.25,51.25,0.4,2.5,4.75,0.53,1,548.5,2,202,170,4,3.67,-34.58,-12.08
Michael Graves,2,0,79,19,33.5,0.57,4.5,8.5,0.53,1,866,0,225.5,170,6.5,0.5,142.5,-165
Michael Johnson,11,10,2206,50.24,133.48,0.38,0.43,0.9,0.47,0.11,78.61,16,235.38,155,4.71,2.9,-163,124.9
Michael Kuiper,1,2,156,33.33,62,0.54,1.33,1.67,0.8,0,279,3,167,185,2.33,7,39.33,-49.33
Michael McBride,0,2,182,49.5,101.5,0.49,1.5,3.5,0.43,NA,NA,0,278.5,155,12.5,1.5,-415,332.5
Michael McDonald,6,3,237,24,56.22,0.43,0.67,1,0.67,1.5,86.1,5,200.89,135,2.11,7.44,-247.22,153.89
Michael Trizano,1,1,158,35.5,70.5,0.5,0.5,1,0.5,NA,NA,0,223.5,145,1,2,145,-165
Michal Oleksiejczuk,2,1,61,19.67,36.67,0.54,0,0,NA,0,95,4,101.33,205,7,9.33,23.33,-65
Michel Batista,0,1,4,0,0,NA,1,2,0.5,NA,NA,0,134,265,2,2,-140,120
Michel Pereira,1,2,118,30.33,59,0.51,1.33,2.33,0.57,0,208.5,2,198.67,170,4.33,8.67,-191.67,140
Michel Prazeres,10,3,1174,30.85,65.31,0.47,3.46,9.38,0.37,0.78,454.11,4,250,170,3.62,6.46,-124.62,90.38
Michel Quinones,0,2,142,35.5,119.5,0.3,0,0,NA,NA,NA,0,282,155,2.5,7.5,-162.5,140
Michihiro Omigawa,1,4,337,34.6,86.8,0.4,1.2,3.8,0.32,3.5,576.5,1,300,145,2.8,8.2,-156.4,127.4
Michinori Tanaka,2,3,357,29.6,79,0.37,2.4,6.2,0.39,0.25,717,0,300,135,2.6,5,22,-78
Mickael Lebout,1,2,294,39,111.67,0.35,0,1.33,0,0,438.5,0,300,155,2,2.33,-326.67,236.67
Mickey Gall,5,2,218,15.86,36.29,0.44,0.71,1.86,0.38,2.42,260,2,171.57,170,3.14,6.86,5.71,-47.14
Miesha Tate,5,4,527,30.44,70.11,0.43,1.11,4.89,0.23,2.29,469.57,1,237.67,135,2.11,2.44,-142.22,103.33
Miguel Baeza,1,0,35,35,61,0.57,1,1,1,NA,NA,1,152,170,0,4,-250,210
Miguel Torres,2,2,326,38.75,89.5,0.43,0,0.5,0,NA,NA,0,274.5,135,2,6,-238.75,165
Mike Brown,2,3,433,36.8,68.2,0.54,2.4,8,0.3,0,521,0,250,145,1.8,8.8,-94.6,64.6
Mike Davis,1,1,158,76,133,0.57,1,1,1,0,116,2,270,155,2.5,3,-267.5,225
Mike Easton,3,4,499,50.14,135.29,0.37,0.71,3.14,0.23,0,170.8,1,298.86,135,1.43,2.43,-137.14,98.57
Mike Grundy,1,0,36,33,56,0.59,1,3,0.33,NA,NA,1,282,145,1,1,310,-340
Mike Guymon,1,2,139,20,27.67,0.72,1,1.67,0.6,1,236.5,0,191.67,170,1,4.67,-85,58.33
Mike Jackson,0,1,3,3,6,0.5,0,0,NA,NA,NA,0,45,170,2,7,-525,450
Mike King,0,1,60,38,65,0.58,1,4,0.25,NA,NA,1,213,185,4,4,-130,120
Mike Lullo,0,2,250,31.5,87,0.36,1,9,0.11,1,297,0,163,145,3,6,112.5,-162.5
Mike Massenzio,1,4,296,22.2,49.4,0.45,1.8,8,0.22,0.67,379.33,0,184,185,0.8,3.4,-68,29
Mike Perry,6,5,482,39.45,83.91,0.47,0.45,0.91,0.5,0,106.44,7,228.91,170,3,5.82,-115.91,81.82
Mike Pierce,7,4,695,31.36,69.73,0.45,1.64,4.55,0.36,0.5,556.33,3,205,170,3.45,3.36,-223.82,180.45
Mike Pyle,8,7,650,23.6,53.27,0.44,0.93,2.4,0.39,1.32,204.36,3,212.2,170,3.33,9.53,-17.33,-8.67
Mike Rhodes,0,3,112,33.33,84.67,0.39,0.67,2,0.33,NA,NA,0,225,170,3.33,5,-131.67,91.67
Mike Ricci,1,1,86,36,117.5,0.31,1,1,1,NA,NA,0,300,155,4,3,-37.5,-10
Mike Rio,1,3,93,12.25,31,0.4,1.25,4.5,0.28,1.33,378.33,0,211.75,155,3,3,-220,193.75
Mike Rodriguez,1,1,110,37.5,54,0.69,0,0,NA,NA,NA,2,239.5,205,2.5,1.5,-107.5,-112.5
Mike Russow,3,2,142,15.4,34.4,0.45,2,6.2,0.32,0,506,1,226.2,265,1.2,4.4,-257,187
Mike Santiago,0,3,127,25,49,0.51,1.67,3.33,0.5,2,343.5,0,204,145,2,2.33,126.67,-233.33
Mike Stumpf,0,2,93,31.5,73,0.43,1,4,0.25,1,174,0,266,170,3,1.5,10,-32.5
Mike Swick,1,2,91,15.67,54.67,0.29,0.33,1,0.33,NA,NA,0,177,170,5,4,5,-50
Mike Wilkinson,2,2,414,19.25,50.25,0.38,0.5,3.5,0.14,2,247.67,2,190.75,145,0.75,2.25,-240,133.75
Mike de la Torre,1,3,127,13.5,30.25,0.45,0,0.5,0,NA,NA,0,177.25,145,3.25,2.75,-130,-7.5
Milana Dudieva,1,2,94,9.33,29.33,0.32,1.67,3.67,0.45,NA,NA,0,240.67,135,1,5,-165,120
Miles Johns,1,1,76,22,54.5,0.4,0.5,1,0.5,0,172,0,200.5,135,0.5,3,-8.5,-11.5
Milton Vieira,0,1,58,17,34,0.5,5,6,0.83,NA,NA,0,300,145,0,9,155,-165
Miranda Granger,1,1,164,32.5,75.5,0.43,0,0,NA,NA,NA,0,261.5,115,0.5,2.5,-204,59.5
Mirsad Bektic,5,3,606,28.75,70,0.41,2,4.5,0.44,0.2,682.13,2,232.62,145,2,4.38,-223.75,133.12
Misha Cirkunov,6,3,316,17.33,32.89,0.53,1.22,2.11,0.58,1.17,111.17,0,148.89,205,2,5.44,-155.56,43.33
Mitch Clarke,2,5,308,23.71,69.71,0.34,0.43,2.86,0.15,0.58,169.08,0,219.14,155,2.43,2,-58.57,17.86
Mitch Gagnon,2,4,275,30.5,64.83,0.47,0.67,3.33,0.2,2,344.75,3,216.83,135,2.17,1.67,-270.17,220.17
Mizuto Hirota,1,5,984,50.83,124,0.41,1.17,2.5,0.47,0.5,281.75,0,300,155,1.33,4.33,-141.67,65
Molly McCann,3,1,355,84.5,170.25,0.5,2.25,6.75,0.33,1.5,169.5,0,256.25,125,1,4,-233.75,171.25
Montana De La Rosa,4,1,287,24.8,75,0.33,1.6,4.8,0.33,2.67,513,1,227.6,125,0.8,5.6,-91,58
Montel Jackson,3,1,327,47.75,80,0.6,4,5.25,0.76,0.5,581,1,250,135,0.75,3,-260,162.5
Mostapha Al-Turk,0,1,20,20,127,0.16,0,0,NA,NA,NA,0,300,265,2,6,-245,205
Motonobu Tezuka,0,2,57,13,55,0.24,1.5,13.5,0.11,NA,NA,0,300,135,1.5,3,-173.5,158.5
Movsar Evloev,1,0,78,71,233,0.3,4,11,0.36,NA,NA,0,300,145,1,4,170,-200
Muslim Salikhov,2,1,84,27.67,60.67,0.46,1,1.67,0.6,0,17,1,256,170,3,4.67,-171.67,145
Myles Jury,6,4,760,28.1,66,0.43,1.2,2.4,0.5,0.42,286.33,4,240.2,145,4.4,3.8,-83.5,47
Nad Narimani,2,1,200,50.33,116.67,0.43,2.33,5.67,0.41,0,582.5,0,294,145,0.67,2.33,23.33,-75
Nadia Kassem,1,2,404,34,81,0.42,0.33,1,0.33,3,132,0,252,125,0.67,8,25,-55
Nah-Shon Burrell,1,1,204,88.5,168.5,0.53,0,0.5,0,1,179,0,300,170,3.5,4,-12.5,2.5
Nam Phan,2,6,1336,75.88,211.25,0.36,0.12,0.75,0.17,0.33,88.27,0,300,135,1.12,3.12,-113.75,92.5
Nandor Guelmino,0,1,75,56,99,0.57,0,3,0,NA,NA,0,198,265,5,7,230,-250
Naoki Inoue,1,1,215,55,156,0.35,0,1.5,0,5,553,0,300,125,2.5,4.5,-55,22.5
Naoyuki Kotani,0,3,90,11.33,38.67,0.29,0.67,5.33,0.12,0,228,0,235.67,155,2.33,3.33,-300,219.33
Nasrat Haqparast,3,2,321,54.4,115.6,0.47,0.2,0.8,0.25,0,98.75,4,201.2,155,0.8,6,198,-263
Nate Diaz,9,7,3552,72.5,155.25,0.47,0.38,2.19,0.17,1.46,200.35,6,266.19,170,4.06,3.75,-108.56,82.31
Nate Landwehr,0,1,6,4,9,0.44,0,0,NA,NA,NA,0,163,145,0,1,100,-120
Nate Marquardt,5,8,918,24.92,50.46,0.49,0.92,2,0.46,0.64,221.17,8,244.77,185,2.92,4.46,-82.31,49.85
Nate Quarry,0,1,19,19,71,0.27,0,1,0,NA,NA,0,29,185,2,0,-230,190
Nathan Coy,0,2,37,17,34,0.5,1,1,1,NA,NA,0,213.5,170,2,7.5,-350,282.5
Nathaniel Wood,3,1,311,42.5,97.75,0.43,1.25,1.75,0.71,2,338,1,143,135,1.5,8.25,-30,-5
Nazareno Malegarie,0,1,68,58,166,0.35,1,3,0.33,NA,NA,0,300,155,5,2,105,-125
Neil Magny,14,5,1463,46.58,99.68,0.47,2.16,4.63,0.47,0.65,312.42,2,227.79,170,5.11,3.63,-28.11,-14.26
