name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Johnny Walker,3,2,113,11.8,16,0.74,0,0,NA,0,83.5,3,119,205,0.2,3.4,-43.4,21.4
Johny Hendricks,11,8,2468,43.63,96.84,0.45,2.84,5.68,0.5,0.15,446.33,10,217.53,185,4.47,3.42,-93.21,53.42
Jon Delos Reyes,0,3,108,15.67,42.67,0.37,1.33,1.67,0.8,NA,NA,2,204.33,125,1.33,4.33,-383.33,325
Jon Fitch,3,2,494,37.8,62.6,0.6,3.4,5.4,0.63,0.75,995,0,242.4,170,4,5,38.4,-55.4
Jon Jones,16,0,1448,71.94,119.06,0.6,1.88,4.38,0.43,0.5,552.07,3,240.19,205,3,6.5,-449.31,348.88
Jon Madsen,3,1,202,28.5,60.25,0.47,1.25,1.5,0.83,NA,NA,0,252,265,1,4.5,-161.25,123.75
Jon Manley,0,1,35,17,85,0.2,1,13,0.08,NA,NA,0,300,170,6,1,135,-145
Jon Olav Einemo,0,2,121,32.5,56.5,0.58,0.5,2,0.25,NA,NA,0,249.5,265,1,5,-124,14
Jon Tuck,3,5,409,36,90.88,0.4,0.38,1.12,0.33,1.27,198.07,2,246.88,155,2.88,2.88,23.75,-73.12
Jonathan Brookins,1,3,100,23.5,53.75,0.44,0.75,6.25,0.12,0.33,224.67,0,202.25,145,5.5,3.25,-16.25,0.75
Jonathan Goulet,0,1,19,5,16,0.31,4,5,0.8,NA,NA,0,83,170,1,6,-440,350
Jonathan Martinez,0,2,162,68.5,126.5,0.54,0.5,2.5,0.2,NA,NA,0,300,135,0.5,6.5,-136.5,116.5
Jonathan Meunier,1,1,145,45,89,0.51,0.5,1.5,0.33,NA,NA,0,177,170,3,0.5,-185,155
Jonathan Pearce,0,1,8,8,19,0.42,0,0,NA,NA,NA,0,93,155,2,8,170,-200
Jonathan Wilson,1,3,248,29.25,60.75,0.48,0.25,0.25,1,0,70.5,4,225.25,185,0.75,2.5,-45,20
Jonavin Webb,0,1,33,23,67,0.34,2,8,0.25,NA,NA,1,300,170,7,10,-110,-110
