event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC Fight Night: Ribas vs. Namajunas,Amanda Ribas,Rose Namajunas,Blue,Women's Flyweight,0,Women,Decision - Unanimous,5,5,300,Jason Herzog,0,83,270,0.3,137,342,0.4,4,8,0.5,0,0,98,12,5,30,160.02,56.7,167.64,Orthodox,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,93,188,0.49,169,281,0.6,1,3,0.33,0,1,419,13,6,31,165.1,56.7,165.1,Orthodox,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38,0,-10,82,-0.19,-32,61,-0.2,3,5,0.17,0,-1,-321,-1,-1,-1,-5.08,0,2.54,0.94,-0.11,-0.01,0.04,-0.02,0.26,0.2,0.69
UFC Fight Night: Ribas vs. Namajunas,Karl Williams,Justin Tafa,Red,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,40,61,0.65,123,176,0.7,7,12,0.58,1,0,631,10,1,34,190.5,106.59,200.66,Orthodox,2.87,1.7,0.52,0.5,0.6,1,0.2,4.75,0,21,43,0.48,27,50,0.54,0,0,0,0,0,0,7,4,30,182.88,119.75,187.96,Southpaw,4.09,5.02,0.54,0,0.47,0.5,0,0,0,19,18,0.17,96,126,0.16,7,12,0.58,1,0,631,3,-3,4,7.62,-13.16,12.7,-1.22,-3.32,-0.02,0.5,0.13,0.5,0.2,4.75
UFC Fight Night: Ribas vs. Namajunas,Edmen Shahbazyan,AJ Dobson,Red,Middleweight,0,Men,KO/TKO,1,3,273,Mark Smith,1,27,43,0.62,31,51,0.61,1,3,0.33,0,0,49,13,4,26,187.96,83.91,190.5,Orthodox,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24,0,15,46,0.32,20,54,0.37,0,0,0,0,1,75,7,3,32,185.42,83.91,193.04,Orthodox,4.29,5.31,0.46,0.75,0.46,0.65,0.3,1.67,1,12,-3,0.3,11,-3,0.24,1,3,0.33,0,-1,-26,6,1,-6,2.54,0,-2.54,-0.69,-1.22,0.06,-0.37,-0.01,-0.02,0.3,0.57
UFC Fight Night: Ribas vs. Namajunas,Payton Talbott,Cameron Saaiman,Red,Bantamweight,0,Men,KO/TKO,2,3,21,Chris Tognoni,1,79,129,0.61,83,135,0.61,0,1,0,0,0,30,8,0,25,177.8,61.23,177.8,Switch,8.05,3.58,0.54,0,0.51,0.9,0.5,0,0,31,64,0.48,33,66,0.5,0,3,0,0,0,0,9,2,23,172.72,61.23,170.18,Southpaw,5.32,4.18,0.46,0.28,0.51,0.47,0.7,0.91,1,48,65,0.13,50,69,0.11,0,-2,0,0,0,30,-1,-2,2,5.08,0,7.62,2.73,-0.6,0.08,-0.28,0,0.43,-0.2,-0.91
UFC Fight Night: Ribas vs. Namajunas,Billy Quarantillo,Youssef Zalal,Blue,Featherweight,0,Men,Submission,2,3,110,Herb Dean,0,10,50,0.2,26,74,0.35,0,0,0,0,0,21,18,6,35,177.8,65.77,177.8,Orthodox,7.36,5.57,0.56,0.23,0.43,0.61,1.1,1.24,0,33,56,0.58,37,62,0.6,2,2,1,2,0,175,14,5,27,177.8,65.77,182.88,Switch,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28,0,-23,-6,-0.38,-11,12,-0.25,-2,-2,-1,-2,0,-154,4,1,8,0,0,-5.08,4.48,3.84,0.07,-0.11,-0.22,0.01,-0.2,-1.04
UFC Fight Night: Ribas vs. Namajunas,Fernando Padilla,Luis Pajuelo,Red,Featherweight,0,Men,Submission,1,3,165,Jason Herzog,1,34,61,0.55,35,64,0.55,0,0,0,1,0,47,16,5,27,185.42,65.77,193.04,Orthodox,6.48,5.25,0.42,0,0.53,1,0.8,0,0,5,13,0.38,7,15,0.47,0,0,0,0,0,0,8,2,29,177.8,65.77,175.26,Orthodox,6.03,8.2,0.57,0,0.52,0.66,0,0,1,29,48,0.17,28,49,0.08,0,0,0,1,0,47,8,3,-2,7.62,0,17.78,0.45,-2.95,-0.15,0,0.01,0.34,0.8,0
UFC Fight Night: Ribas vs. Namajunas,Kurt Holobaugh,Trey Ogden,Blue,Lightweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,0,29,68,0.42,129,188,0.69,0,0,0,0,0,10,21,8,37,180.34,70.31,177.8,Orthodox,4.37,4.07,0.43,0.36,0.48,0.46,0.9,0.71,0,35,66,0.53,225,320,0.7,3,4,0.75,0,0,669,17,6,34,180.34,70.31,182.88,Orthodox,3.38,3.59,0.47,0.23,0.58,1,0.6,1.64,0,-6,2,-0.11,-96,-132,-0.01,-3,-4,-0.75,0,0,-659,4,2,3,0,0,-5.08,0.99,0.48,-0.04,0.13,-0.1,-0.54,0.3,-0.93
UFC Fight Night: Ribas vs. Namajunas,Ricardo Ramos,Julian Erosa,Blue,Featherweight,0,Men,Submission,1,3,135,Chris Tognoni,0,7,17,0.41,12,23,0.52,2,3,0.66,0,0,87,16,6,28,175.26,65.77,182.88,Orthodox,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,0,4,11,0.36,11,21,0.52,0,0,0,1,0,0,29,12,34,185.42,65.77,187.96,Southpaw,6.14,6.29,0.48,0.46,0.47,0.58,0.8,1.63,0,3,6,0.05,1,2,0,2,3,0.66,-1,0,87,-13,-6,-6,-10.16,0,-5.08,-2.93,-2.55,-0.11,0.14,0.1,0.14,-0.1,1.39
UFC Fight Night: Ribas vs. Namajunas,Miles Johns,Cody Gibson,Red,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,25,79,0.31,64,137,0.47,2,8,0.25,0,1,389,14,2,29,170.18,61.23,167.64,Orthodox,3.28,2.55,0.47,0.22,0.68,0.85,0,1.15,0,18,62,0.29,52,108,0.48,1,7,0.14,0,0,115,20,10,36,177.8,61.23,180.34,Orthodox,4,4.08,0.43,0.28,0.57,0.68,0.2,1.28,0,7,17,0.02,12,29,-0.01,1,1,0.11,0,1,274,-6,-8,-7,-7.62,0,-12.7,-0.72,-1.53,0.04,-0.06,0.11,0.17,-0.2,-0.13
UFC Fight Night: Ribas vs. Namajunas,Jarno Errens,Steven Nguyen,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,1,105,207,0.5,106,208,0.51,0,1,0,0,0,12,14,5,29,180.34,65.77,185.42,Orthodox,3.44,3.36,0.46,0,0.63,0.28,0.3,0,0,63,226,0.27,63,227,0.28,1,1,1,0,0,23,9,2,30,180.34,65.77,185.42,Switch,7.15,7.36,0.4,1,0.6,0.84,0,0.28,1,42,-19,0.23,43,-19,0.23,-1,0,-1,0,0,-11,5,3,-1,0,0,0,-3.71,-4,0.06,-1,0.03,-0.56,0.3,-0.28
UFC Fight Night: Ribas vs. Namajunas,Montserrat Rendon,Daria Zhelezniakova,Blue,Women's Bantamweight,0,Women,Decision - Unanimous,3,3,300,Jason Herzog,0,25,147,0.17,28,156,0.18,3,6,0.5,0,0,324,6,1,35,172.72,61.23,172.72,Orthodox,3.13,3.9,0.28,0.54,0.54,1,0,3,0,57,150,0.38,73,171,0.43,0,0,0,0,0,1,9,1,28,175.26,61.23,172.72,,3.8,1.67,0.38,0,0.82,0.5,0,0,0,-32,-3,-0.21,-45,-15,-0.25,3,6,0.5,0,0,323,-3,0,7,-2.54,0,0,-0.67,2.23,-0.1,0.54,-0.28,0.5,0,3
UFC Fight Night: Ribas vs. Namajunas,Igor Severino,Andre Lima,Blue,Flyweight,0,Men,DQ,2,3,172,Chris Tognoni,0,36,78,0.46,40,85,0.47,5,9,0.55,0,0,180,8,1,20,170.18,56.7,175.26,Orthodox,7.17,4.33,0.52,0.71,0.47,0.5,0,9.69,0,30,58,0.51,38,66,0.58,1,2,0.5,2,0,24,8,0,25,170.18,56.7,170.18,Orthodox,3.98,2.67,0.6,0.66,0.6,0.61,1.3,1.31,0,6,20,-0.05,2,19,-0.11,4,7,0.05,-2,0,156,0,1,-5,0,0,5.08,3.19,1.66,-0.08,0.05,-0.13,-0.11,-1.3,8.38
UFC Fight Night: Ribas vs. Namajunas,Mohammed Usman,Mick Parkin,Blue,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,0,57,167,0.34,57,168,0.34,0,0,0,0,0,0,11,3,34,187.96,108.41,200.66,Orthodox,3.18,4.21,0.37,0.18,0.52,0,0,0.89,0,72,150,0.48,72,150,0.48,0,0,0,0,0,0,9,0,28,193.04,120.2,200.66,Orthodox,4.54,3.94,0.51,0.41,0.59,0.5,0.3,1.6,0,-15,17,-0.14,-15,18,-0.14,0,0,0,0,0,0,2,3,6,-5.08,-11.79,0,-1.36,0.27,-0.14,-0.23,-0.07,-0.5,-0.3,-0.71
UFC Fight Night: Tuivasa vs. Tybura,Tai Tuivasa,Marcin Tybura,Blue,Heavyweight,0,Men,Submission,1,5,248,Herb Dean,0,15,24,0.62,18,27,0.67,0,0,0,0,0,0,15,7,31,187.96,119.75,190.5,Southpaw,3.96,5.05,0.49,0,0.43,0.57,0,0,0,27,41,0.65,73,96,0.76,1,4,0.25,1,0,168,25,8,38,190.5,112.94,198.12,Orthodox,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43,0,-12,-17,-0.03,-55,-69,-0.09,-1,-4,-0.25,-1,0,-168,-10,-1,-7,-2.54,6.81,-7.62,0.36,1.7,0.01,-0.33,-0.12,-0.22,-0.1,-1.43
UFC Fight Night: Tuivasa vs. Tybura,Ovince Saint Preux,Kennedy Nzechukwu,Red,Light Heavyweight,0,Men,Decision - Split,3,3,300,Mark Smith,1,143,276,0.51,143,276,0.52,0,2,0,0,0,6,27,17,40,190.5,92.99,203.2,Southpaw,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,0,106,250,0.42,106,250,0.42,0,1,0,0,0,8,12,5,31,195.58,92.99,210.82,Southpaw,5.13,4.9,0.45,0.45,0.5,0.8,0.2,0.6,1,37,26,0.09,37,26,0.1,0,1,0,0,0,-2,15,12,9,-5.08,0,-7.62,-2.1,-1.58,0.02,-0.09,-0.03,-0.13,0.3,0.5
UFC Fight Night: Tuivasa vs. Tybura,Christian Rodriguez,Isaac Dulgarian,Red,Featherweight,0,Men,Decision - Split,3,3,300,Chris Tognoni,0,48,76,0.63,97,135,0.72,0,0,0,0,0,199,11,1,26,170.18,65.77,180.34,Orthodox,3.45,2.28,0.48,0.54,0.57,0.66,1.1,1.14,0,22,44,0.5,56,89,0.63,7,16,0.43,2,0,562,6,1,27,170.18,65.77,180.34,Orthodox,2.88,2.53,0.58,0.47,0.39,0,1.5,6.06,0,26,32,0.13,41,46,0.09,-7,-16,-0.43,-2,0,-363,5,0,-1,0,0,0,0.57,-0.25,-0.1,0.07,0.18,0.66,-0.4,-4.92
UFC Fight Night: Tuivasa vs. Tybura,Pannie Kianzad,Macy Chiasson,Blue,Women's Bantamweight,0,Women,Submission,1,3,234,Mark Smith,0,2,6,0.33,29,35,0.83,1,2,0.5,0,0,52,17,8,32,170.18,61.23,167.64,Orthodox,4.74,3.67,0.49,0.33,0.53,0.66,0.1,0.46,0,4,10,0.4,5,11,0.45,2,2,1,1,1,148,10,3,32,180.34,61.23,182.88,Orthodox,3.53,2.53,0.44,0.37,0.46,0.62,0.5,2.38,0,-2,-4,-0.07,24,24,0.38,-1,0,-0.5,-1,-1,-96,7,5,0,-10.16,0,-15.24,1.21,1.14,0.05,-0.04,0.07,0.04,-0.4,-1.92
UFC Fight Night: Tuivasa vs. Tybura,Gerald Meerschaert,Bryan Barberena,Red,Middleweight,0,Men,Submission,2,3,263,Herb Dean,0,11,17,0.64,30,36,0.83,3,7,0.42,2,0,303,36,17,36,185.42,83.91,195.58,Southpaw,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,0,12,37,0.32,25,50,0.5,0,0,0,0,0,3,18,12,34,182.88,83.91,182.88,Southpaw,5.35,4.59,0.48,0.22,0.44,0.5,0.3,0.13,0,-1,-20,0.32,5,-14,0.33,3,7,0.42,2,0,300,18,5,2,2.54,0,12.7,-2.17,-1.22,-0.03,0.16,0.09,-0.16,1.3,2.04
UFC Fight Night: Tuivasa vs. Tybura,Natan Levy,Mike Davis,Blue,Lightweight,0,Men,Submission,2,3,103,Mike Beltran,0,8,9,0.88,18,20,0.9,1,1,1,0,0,34,8,2,32,175.26,70.31,180.34,Southpaw,3.7,3.19,0.52,0.58,0.58,0.41,0.5,5.03,1,3,7,0.42,10,15,0.67,0,0,0,1,0,311,11,2,31,182.88,70.31,182.88,Orthodox,5.35,5.76,0.52,0.53,0.55,0.64,0.4,2.77,-1,5,2,0.46,8,5,0.23,1,1,1,-1,0,-277,-3,0,1,-7.62,0,-2.54,-1.65,-2.57,0,0.05,0.03,-0.23,0.1,2.26
UFC Fight Night: Tuivasa vs. Tybura,Josiane Nunes,Chelsea Chandler,Blue,Women's Bantamweight,0,Women,Decision - Unanimous,3,3,300,Chris Tognoni,0,47,105,0.44,49,108,0.45,0,0,0,0,0,26,10,2,30,157.48,61.23,170.18,Southpaw,5.99,5.25,0.44,0,0.53,0.58,0,0,0,58,130,0.44,100,176,0.57,2,2,1,0,0,422,6,2,33,172.72,61.23,172.72,Southpaw,3.45,3.09,0.45,0.6,0.49,0.33,0,1.31,0,-11,-25,0,-51,-68,-0.12,-2,-2,-1,0,0,-396,4,0,-3,-15.24,0,-2.54,2.54,2.16,-0.01,-0.6,0.04,0.25,0,-1.31
UFC Fight Night: Tuivasa vs. Tybura,Jafel Filho,Ode Osbourne,Red,Flyweight,0,Men,Submission,1,3,267,Herb Dean,0,21,35,0.6,43,66,0.65,1,1,1,2,0,201,16,3,30,170.18,56.7,172.72,Orthodox,2.36,2,0.41,0.33,0.47,0.55,2.6,1.77,0,0,5,0,1,6,0.17,0,0,0,0,0,4,12,7,32,170.18,56.7,185.42,Southpaw,3.46,4.44,0.38,0.27,0.44,0.64,0.2,1.27,0,21,30,0.6,42,60,0.48,1,1,1,2,0,197,4,-4,-2,0,0,-12.7,-1.1,-2.44,0.03,0.06,0.03,-0.09,2.4,0.5
UFC Fight Night: Tuivasa vs. Tybura,Josh Culibao,Danny Silva,Blue,Featherweight,0,Men,Decision - Split,3,3,300,Mark Smith,0,87,202,0.43,89,205,0.43,0,4,0,0,0,3,11,3,29,177.8,65.77,185.42,Orthodox,3.2,3.24,0.42,0,0.56,0.67,0.3,0,0,45,107,0.42,56,119,0.47,4,9,0.44,1,0,328,9,1,27,180.34,65.77,177.8,Switch,8.3,9.47,0.58,0.5,0.59,1,0.5,3,0,42,95,0.01,33,86,-0.04,-4,-5,-0.44,-1,0,-325,2,2,2,-2.54,0,7.62,-5.1,-6.23,-0.16,-0.5,-0.03,-0.33,-0.2,-3
UFC Fight Night: Tuivasa vs. Tybura,Jaqueline Amorim,Cory McKenna,Red,Women's Strawweight,0,Women,Submission,1,3,98,Mike Beltran,0,3,5,0.6,3,5,0.6,0,0,0,4,0,0,8,1,28,160.02,52.16,172.72,Orthodox,3.33,1.85,0.52,0.23,0.62,0,5.4,1.48,0,4,11,0.36,8,17,0.47,1,1,1,0,0,56,8,3,24,160.02,52.16,147.32,Orthodox,3,3.19,0.4,0.58,0.48,0.71,0.4,2.22,0,-1,-6,0.24,-5,-12,0.13,-1,-1,-1,4,0,-56,0,-2,4,0,0,25.4,0.33,-1.34,0.12,-0.35,0.14,-0.71,5,-0.74
UFC Fight Night: Tuivasa vs. Tybura,Thiago Moises,Mitch Ramirez,Red,Lightweight,0,Men,KO/TKO,3,3,15,Mark Smith,1,25,39,0.64,53,72,0.74,2,2,1,1,0,396,18,7,29,175.26,70.31,177.8,Orthodox,2.47,4.19,0.4,0.44,0.55,0.56,1.3,1.64,0,16,48,0.33,28,65,0.43,0,0,0,0,0,21,8,2,31,180.34,70.31,180.34,Orthodox,2.37,3.34,0.42,1,0.36,0,0,0.91,1,9,-9,0.31,25,7,0.31,2,2,1,1,0,375,10,5,-2,-5.08,0,-2.54,0.1,0.85,-0.02,-0.56,0.19,0.56,1.3,0.73
UFC Fight Night: Tuivasa vs. Tybura,Charalampos Grigoriou,Chad Anheliger,Blue,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Chris Tognoni,0,21,65,0.32,26,70,0.37,4,5,0.8,0,0,324,8,4,31,170.18,61.23,170.18,Orthodox,2.13,5.56,0.4,0.8,0.46,1,0,3.75,0,85,155,0.54,144,220,0.65,0,2,0,0,0,94,13,7,37,167.64,61.23,162.56,Orthodox,3.6,3.11,0.45,0.3,0.53,0.42,0.6,0.82,0,-64,-90,-0.22,-118,-150,-0.28,4,3,0.8,0,0,230,-5,-3,-6,2.54,0,7.62,-1.47,2.45,-0.05,0.5,-0.07,0.58,-0.6,2.93
UFC 299: O'Malley vs. Vera 2,Sean O'Malley,Marlon Vera,Red,UFC Bantamweight Title,1,Men,Decision - Unanimous,5,5,300,Keith Peterson,0,230,356,0.64,232,358,0.65,0,0,0,0,0,3,18,1,29,180.34,61.23,182.88,Switch,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,0,89,241,0.36,89,241,0.37,0,0,0,0,0,0,23,9,31,172.72,61.23,177.8,Switch,4.31,5.48,0.49,0.39,0.5,0.7,0.9,0.53,0,141,115,0.28,143,117,0.28,0,0,0,0,0,3,-5,-8,-2,7.62,0,5.08,3.32,-1.96,0.12,0.03,0.12,-0.08,-0.6,-0.18
UFC 299: O'Malley vs. Vera 2,Dustin Poirier,Benoit Saint Denis,Red,Lightweight,0,Men,KO/TKO,2,5,152,Mike Beltran,1,28,34,0.82,30,37,0.81,0,1,0,4,0,31,30,8,35,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,50,74,0.67,69,97,0.71,3,7,0.42,1,0,293,13,2,28,180.34,70.31,185.42,Southpaw,5.7,4.98,0.54,0.37,0.42,0.69,1.5,4.76,1,-22,-40,0.15,-39,-60,0.1,-3,-6,-0.42,3,0,-262,17,6,7,-5.08,0,-2.54,-0.25,-0.62,-0.03,-0.01,0.11,-0.06,-0.1,-3.43
UFC 299: O'Malley vs. Vera 2,Kevin Holland,Michael Page,Blue,Welterweight,0,Men,Decision - Unanimous,3,3,300,Dan Miragliotta,0,29,61,0.47,64,99,0.65,2,5,0.4,1,0,262,25,11,31,190.5,77.11,205.74,Orthodox,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,0,41,62,0.66,59,81,0.73,0,3,0,0,0,86,22,2,36,190.5,77.11,200.66,Switch,3.14,1.6,0.69,0.25,0.55,0.66,0,0.77,0,-12,-1,-0.19,5,18,-0.08,2,2,0.4,1,0,176,3,9,-5,0,0,5.08,1.1,1.59,-0.2,0.13,-0.05,-0.12,0.6,0.08
UFC 299: O'Malley vs. Vera 2,Gilbert Burns,Jack Della Maddalena,Blue,Welterweight,0,Men,KO/TKO,3,3,223,Dan Miragliotta,0,27,58,0.46,31,63,0.49,7,11,0.63,0,0,307,22,7,37,177.8,77.11,180.34,Orthodox,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,1,67,123,0.54,85,146,0.58,0,1,0,0,0,16,17,2,27,180.34,77.11,185.42,Switch,6.74,4.27,0.53,0.16,0.66,0.7,0.2,0.21,-1,-40,-65,-0.08,-54,-83,-0.09,7,10,0.63,0,0,291,5,5,10,-2.54,0,-5.08,-3.45,-0.85,-0.05,0.22,-0.12,-0.2,0.3,2.03
UFC 299: O'Malley vs. Vera 2,Petr Yan,Song Yadong,Red,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,99,183,0.54,129,217,0.59,2,5,0.4,0,0,107,17,5,31,170.18,61.23,170.18,Switch,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,86,172,0.5,104,192,0.54,1,8,0.12,0,0,100,21,8,26,172.72,61.23,170.18,Orthodox,4.49,3.96,0.43,0.4,0.55,0.72,0.2,0.66,0,13,11,0.04,25,25,0.05,1,-3,0.28,0,0,7,-4,-3,5,-2.54,0,0,0.65,0.4,0.1,0.11,0.03,0.13,-0.1,1.07
UFC 299: O'Malley vs. Vera 2,Curtis Blaydes,Jailton Almeida,Red,Heavyweight,0,Men,KO/TKO,2,3,36,Mike Beltran,0,16,25,0.64,19,28,0.68,0,0,0,0,0,9,18,4,33,193.04,120.2,203.2,Orthodox,3.53,1.83,0.5,0.53,0.59,0.31,0,5.72,0,1,3,0.33,9,11,0.82,9,13,0.69,0,0,279,20,3,32,190.5,92.99,200.66,Orthodox,2.54,0.74,0.64,0.59,0.4,0.75,2.2,6.88,0,15,22,0.31,10,17,-0.14,-9,-13,-0.69,0,0,-270,-2,1,1,2.54,27.21,2.54,0.99,1.09,-0.14,-0.06,0.19,-0.44,-2.2,-1.16
UFC 299: O'Malley vs. Vera 2,Katlyn Cerminara,Maycee Barber,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Andrew Glenn,0,66,152,0.43,99,186,0.53,1,6,0.16,0,0,172,18,6,35,175.26,56.7,172.72,Orthodox,4.58,4.48,0.34,0.15,0.62,0.5,0.3,0.31,0,84,150,0.56,122,189,0.65,4,4,1,0,0,285,14,2,25,165.1,56.7,165.1,Switch,4.7,2.9,0.53,0.43,0.54,0.53,0.1,1.44,0,-18,2,-0.13,-23,-3,-0.12,-3,2,-0.84,0,0,-113,4,4,10,10.16,0,7.62,-0.12,1.58,-0.19,-0.28,0.08,-0.03,0.2,-1.13
UFC 299: O'Malley vs. Vera 2,Mateusz Gamrot,Rafael Dos Anjos,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Dan Miragliotta,0,57,102,0.55,111,163,0.68,11,19,0.57,0,0,421,24,2,33,177.8,70.31,177.8,Southpaw,3.09,3.07,0.51,0.35,0.59,0.9,0.1,5.28,1,36,78,0.46,39,82,0.48,0,0,0,0,0,11,32,16,39,172.72,70.31,177.8,Southpaw,3.48,3.21,0.47,0.35,0.6,0.55,0.6,1.95,-1,21,24,0.09,72,81,0.2,11,19,0.57,0,0,410,-8,-14,-6,5.08,0,0,-0.39,-0.14,0.04,0,-0.01,0.35,-0.5,3.33
UFC 299: O'Malley vs. Vera 2,Pedro Munhoz,Kyler Phillips,Blue,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,52,140,0.37,52,140,0.37,1,8,0.12,0,0,24,20,9,37,167.64,61.23,165.1,Orthodox,5.32,6.23,0.43,0.18,0.56,0.82,0.5,0.51,0,114,275,0.41,115,276,0.42,0,0,0,0,0,2,12,2,28,172.72,61.23,182.88,Orthodox,5.72,3.38,0.45,0.46,0.61,0.75,0.5,2.41,0,-62,-135,-0.04,-63,-136,-0.05,1,8,0.12,0,0,22,8,7,9,-5.08,0,-17.78,-0.4,2.85,-0.02,-0.28,-0.05,0.07,0,-1.9
UFC 299: O'Malley vs. Vera 2,Ion Cutelaba,Philipe Lins,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Mike Beltran,0,47,97,0.48,119,171,0.7,0,1,0,0,0,16,17,10,30,185.42,92.99,190.5,Southpaw,4.44,3.43,0.43,0.57,0.47,0.76,0,4.17,0,67,115,0.58,73,121,0.6,2,7,0.28,0,0,334,18,5,38,187.96,92.99,198.12,Orthodox,3.8,3.59,0.49,0.33,0.46,1,0,1.65,0,-20,-18,-0.1,46,50,0.1,-2,-6,-0.28,0,0,-318,-1,5,-8,-2.54,0,-7.62,0.64,-0.16,-0.06,0.24,0.01,-0.24,0,2.52
UFC 299: O'Malley vs. Vera 2,Michel Pereira,Michal Oleksiejczuk,Red,Middleweight,0,Men,Submission,1,3,61,Dan Miragliotta,0,11,15,0.73,11,15,0.73,0,0,0,1,0,18,30,11,30,185.42,83.91,185.42,Orthodox,5.15,3.71,0.54,0.55,0.58,0.94,0.7,1.55,0,1,4,0.25,1,4,0.25,0,0,0,0,0,0,19,7,29,182.88,83.91,187.96,Southpaw,5.06,4.26,0.5,0.44,0.61,0.48,0,0.75,0,10,11,0.48,10,11,0.48,0,0,0,1,0,18,11,4,1,2.54,0,-2.54,0.09,-0.55,0.04,0.11,-0.03,0.46,0.7,0.8
UFC 299: O'Malley vs. Vera 2,Robelis Despaigne,Josh Parisian,Red,Heavyweight,0,Men,KO/TKO,1,3,18,Andrew Glenn,1,7,9,0.77,7,9,0.78,0,0,0,0,0,2,5,0,35,200.66,120.2,213.36,Orthodox,23.33,6.67,0.77,0,0.6,0,0,0,0,2,5,0.4,2,5,0.4,0,0,0,0,0,0,15,8,34,193.04,120.2,200.66,Orthodox,4.55,4.88,0.48,0.33,0.41,0.46,0.2,0.98,1,5,4,0.37,5,4,0.38,0,0,0,0,0,2,-10,-8,1,7.62,0,12.7,18.78,1.79,0.29,-0.33,0.19,-0.46,-0.2,-0.98
UFC 299: O'Malley vs. Vera 2,CJ Vergara,Asu Almabayev,Blue,Flyweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,29,53,0.54,66,92,0.72,0,0,0,0,0,14,12,5,32,167.64,56.7,172.72,Orthodox,5.24,4.62,0.57,0,0.52,0.6,0.2,0,0,44,77,0.57,85,132,0.64,9,14,0.64,0,0,572,19,2,30,162.56,56.7,165.1,Orthodox,3.02,1.42,0.59,0.57,0.53,0,1.3,7.12,0,-15,-24,-0.03,-19,-40,0.08,-9,-14,-0.64,0,0,-558,-7,3,2,5.08,0,7.62,2.22,3.2,-0.02,-0.57,-0.01,0.6,-1.1,-7.12
UFC 299: O'Malley vs. Vera 2,Joanne Wood,Maryna Moroz,Red,Women's Flyweight,0,Women,Decision - Split,3,3,300,Mike Beltran,0,136,249,0.54,173,290,0.6,1,1,1,0,0,12,17,8,38,167.64,56.7,165.1,Orthodox,7.1,4.89,0.51,0.55,0.51,0.58,0.3,1.52,0,102,195,0.52,156,255,0.61,1,2,0.5,0,0,371,11,6,32,170.18,56.7,170.18,Orthodox,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,0,34,54,0.02,17,35,-0.01,0,-1,0.5,0,0,-359,6,2,6,-2.54,0,-5.08,2.68,0,0.18,0.31,0,0.16,-0.3,0.82
