event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 50: The War Of '04,Frank Trigg,Renato Verissimo,Red,Welterweight,0,Men,KO/TKO,2,3,131,Herb Dean,0,33,59,0.55,65,93,0.7,1,1,1,0,0,301,21,9,51,175.26,77.11,180.34,Southpaw,2.79,1.9,0.46,0.47,0.56,0.75,0.8,2.35,0,4,21,0.19,10,27,0.37,0,8,0,2,0,53,7,5,50,185.42,77.11,,Orthodox,0.92,1.87,0.48,0.3,0.47,0.5,2.5,1.46,0,29,38,0.36,55,66,0.33,1,-7,1,-2,0,248,14,4,1,-10.16,0,,1.87,0.03,-0.02,0.17,0.09,0.25,-1.7,0.89
UFC 50: The War Of '04,Evan Tanner,Robbie Lawler,Red,Middleweight,0,Men,Submission,1,3,142,John McCarthy,0,6,17,0.35,6,17,0.35,0,0,0,1,0,0,32,8,53,182.88,83.91,187.96,Orthodox,3.05,2.64,0.59,0.43,0.56,0.25,1.3,2.55,0,3,14,0.21,4,15,0.27,1,1,1,0,0,33,30,16,42,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0,0.65,0,3,3,0.14,2,2,0.08,-1,-1,-1,1,0,-33,2,-8,11,2.54,6.8,0,-0.8,-2.03,0.12,-0.21,-0.03,-0.4,1.3,1.9
UFC 50: The War Of '04,Ivan Salaverry,Tony Fryklund,Red,Middleweight,0,Men,Submission,1,3,96,Herb Dean,1,9,15,0.6,20,29,0.69,0,2,0,1,0,60,14,9,53,182.88,83.91,,Orthodox,3.01,1.19,0.47,0.18,0.76,0.36,2.5,0.49,0,4,6,0.66,4,6,0.67,0,1,0,0,0,2,14,9,53,182.88,83.91,,Orthodox,3.49,6.5,0.39,0,0.43,0.66,0.5,0,1,5,9,-0.06,16,23,0.02,0,1,0,1,0,58,0,0,0,0,0,,-0.48,-5.31,0.08,0.18,0.33,-0.3,2,0.49
UFC 50: The War Of '04,Travis Lutter,Marvin Eastman,Red,Light Heavyweight,0,Men,KO/TKO,2,3,33,Mario Yamasaki,1,1,11,0.09,1,11,0.09,0,1,0,0,0,2,10,6,50,180.34,83.91,190.5,Orthodox,0.41,2.42,0.32,0.24,0.42,0.3,0.7,1.95,0,10,45,0.22,11,46,0.24,0,0,0,0,0,0,18,15,52,175.26,83.91,185.42,Orthodox,2.21,3.92,0.35,0.33,0.42,0.81,0,1.38,1,-9,-34,-0.13,-10,-35,-0.15,0,1,0,0,0,2,-8,-9,-2,5.08,0,5.08,-1.8,-1.5,-0.03,-0.09,0,-0.51,0.7,0.57
UFC 49: Unfinished Business,Randy Couture,Vitor Belfort,Red,UFC Light Heavyweight Title,1,Men,TKO - Doctor's Stoppage,3,5,300,John McCarthy,0,50,71,0.7,131,154,0.85,2,4,0.5,0,0,846,19,11,60,185.42,92.99,190.5,Orthodox,2.85,1.53,0.57,0.46,0.59,0.58,0.5,2.78,0,3,6,0.5,10,13,0.77,0,0,0,2,0,1,26,14,46,182.88,83.91,187.96,Southpaw,1.59,2.83,0.46,0.6,0.5,0.53,0.6,1.02,0,47,65,0.2,121,141,0.08,2,4,0.5,-2,0,845,-7,-3,14,2.54,9.08,2.54,1.26,-1.3,0.11,-0.14,0.09,0.05,-0.1,1.76
UFC 49: Unfinished Business,Joe Riggs,Joe Doerksen,Red,Middleweight,0,Men,KO/TKO,2,3,219,Steve Mazzagatti,0,29,55,0.52,44,71,0.62,2,3,0.66,0,1,364,44,17,41,182.88,83.91,177.8,Southpaw,2.41,1.69,0.51,0.55,0.57,0.62,0.6,2.45,0,6,7,0.85,22,24,0.92,2,7,0.28,0,1,44,51,16,46,182.88,83.91,190.5,Orthodox,1.43,2.79,0.42,0.33,0.5,0.33,2.3,2.02,0,23,48,-0.33,22,47,-0.3,0,-4,0.38,0,0,320,-7,1,-5,0,0,-12.7,0.98,-1.1,0.09,0.22,0.07,0.29,-1.7,0.43
UFC 49: Unfinished Business,Chuck Liddell,Vernon White,Red,Light Heavyweight,0,Men,KO/TKO,1,3,245,Mario Yamasaki,2,31,68,0.45,51,88,0.58,1,1,1,0,0,91,21,8,54,187.96,92.99,193.04,Orthodox,2.97,2.71,0.35,0.75,0.56,0.81,0,0.44,0,13,37,0.35,13,37,0.35,0,1,0,0,0,0,26,33,52,182.88,92.99,,Southpaw,2.11,2.2,0.38,0.28,0.54,0.44,0,0.88,2,18,31,0.1,38,51,0.23,1,0,1,0,0,91,-5,-25,2,5.08,0,,0.86,0.51,-0.03,0.47,0.02,0.37,0,-0.44
UFC 49: Unfinished Business,David Terrell,Matt Lindland,Red,Middleweight,0,Men,KO/TKO,1,3,24,Herb Dean,1,5,7,0.71,5,7,0.71,0,0,0,0,0,8,6,2,46,185.42,83.91,,Southpaw,2.34,2.71,0.63,0.5,0.37,0,5.5,5.54,0,0,1,0,0,1,0,0,0,0,0,0,0,22,9,53,182.88,83.91,187.96,Southpaw,2.62,1.56,0.5,0.48,0.52,0.6,1.3,3.01,1,5,6,0.71,5,6,0.71,0,0,0,0,0,8,-16,-7,-7,2.54,0,,-0.28,1.15,0.13,0.02,-0.15,-0.6,4.2,2.53
UFC 49: Unfinished Business,Justin Eilers,Mike Kyle,Red,Heavyweight,0,Men,KO/TKO,1,3,74,John McCarthy,1,4,9,0.44,5,10,0.5,0,1,0,0,0,1,19,7,45,185.42,106.59,,Orthodox,2.86,5.66,0.43,0.25,0.49,0.5,0,0.82,0,7,16,0.43,7,16,0.44,0,0,0,0,0,0,22,14,43,193.04,92.99,195.58,Orthodox,3.93,3.35,0.51,0.62,0.49,0.5,0.8,1.33,1,-3,-7,0.01,-2,-6,0.06,0,1,0,0,0,1,-3,-7,2,-7.62,13.6,,-1.07,2.31,-0.08,-0.37,0,0,-0.8,-0.51
UFC 49: Unfinished Business,Chris Lytle,Ronald Jhun,Red,Welterweight,0,Men,Submission,2,3,77,Herb Dean,1,12,25,0.48,38,59,0.64,0,1,0,2,1,260,31,18,49,180.34,77.11,172.72,Orthodox,3.76,3.03,0.45,0.55,0.58,0.55,2.4,0.7,0,8,16,0.5,20,29,0.69,1,1,1,0,0,23,24,26,53,180.34,77.11,,Orthodox,1.45,3.01,0.57,1,0.5,1,0,1.81,1,4,9,-0.02,18,30,-0.05,-1,0,-1,2,1,237,7,-8,-4,0,0,,2.31,0.02,-0.12,-0.45,0.08,-0.45,2.4,-1.11
