event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height_in_cm,b_weight_in_kg,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,R_odds,B_odds,location,country,r_total_fights,b_total_fights,age_differential,experience_differential,reach_advantage_diff_in_cm,winner_name,weight_class_numeric,age_difference,experience_diff,reach_advantage_diff
UFC 220: Miocic vs. Ngannou,Matt Bessette,Enrique Barzola,Blue,Featherweight,0,Men,Decision - Unanimous,3,3,300,Steve Rita,0,43,146,0.29,55,158,0.35,0,0,0,0,0,0,22,9,39,177.8,65.77,177.8,Orthodox,4.36,4.45,0.41,0.28,0.58,0.61,0.3,0.64,0,55,122,0.45,73,143,0.51,5,10,0.5,0,0,274,17,5,34,170.18,65.77,177.8,Orthodox,3.91,2.97,0.41,0.45,0.68,0.66,0.3,4.2,0,-12,24,-0.16,-18,15,-0.16,-5,-10,-0.5,0,0,-274,5,4,5,7.62,0,0,0.45,1.48,0,-0.17,-0.1,-0.05,0,-3.56,1/20/2018,245,-290,"Boston, Massachusetts, USA",USA,0,0,5,0,0,Enrique Barzola,145,5,0,0
UFC 220: Miocic vs. Ngannou,Islam Makhachev,Gleison Tibau,Red,Lightweight,0,Men,KO/TKO,1,3,57,Dan Miragliotta,1,3,6,0.5,3,6,0.5,0,0,0,0,0,1,25,1,32,177.8,70.31,177.8,Southpaw,2.46,1.27,0.6,0.6,0.61,0.9,1,3.17,0,2,4,0.5,2,4,0.5,0,0,0,0,0,0,33,14,40,177.8,70.31,180.34,Southpaw,1.95,2.51,0.31,0.53,0.63,0.92,0.8,4.08,1,1,2,0,1,2,0,0,0,0,0,0,1,-8,-13,-8,0,0,-2.54,0.51,-1.24,0.29,0.07,-0.02,-0.02,0.2,-0.91,1/20/2018,-290,245,"Boston, Massachusetts, USA",USA,0,1,8,1,-2.54,Islam Makhachev,155,8,1,-2.54
UFC Fight Night: Stephens vs. Choi,Jeremy Stephens,Dooho Choi,Red,Featherweight,0,Men,KO/TKO,2,5,156,Keith Peterson,1,49,133,0.36,49,133,0.37,0,0,0,0,0,11,28,19,37,175.26,65.77,180.34,Orthodox,3.17,3.05,0.4,0.38,0.58,0.65,0.4,1.16,0,44,79,0.55,45,80,0.56,0,0,0,0,0,4,14,4,32,177.8,65.77,177.8,Orthodox,4.74,4.91,0.53,0.2,0.54,0.5,0,0.29,1,5,54,-0.19,4,53,-0.19,0,0,0,0,0,7,14,15,5,-2.54,0,2.54,-1.57,-1.86,-0.13,0.18,0.04,0.15,0.4,0.87,1/14/2018,145,-165,"St. Louis, Missouri, USA",USA,1,0,5,1,2.54,Jeremy Stephens,145,5,1,2.54
UFC Fight Night: Stephens vs. Choi,Paige VanZant,Jessica-Rose Clark,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Mario Yamasaki,0,54,118,0.45,96,162,0.59,0,2,0,0,1,153,8,5,30,162.56,52.16,165.1,Orthodox,3.35,2.62,0.52,0.33,0.42,0.34,1,1.27,0,55,98,0.56,78,122,0.64,2,3,0.66,1,1,337,11,9,36,165.1,61.23,162.56,Orthodox,3.73,3.51,0.51,0.42,0.58,0.62,0.3,1.66,0,-1,20,-0.11,18,40,-0.05,-2,-1,-0.66,-1,0,-184,-3,-4,-6,-2.54,-9.07,2.54,-0.38,-0.89,0.01,-0.09,-0.16,-0.28,0.7,-0.39,1/14/2018,-120,100,"St. Louis, Missouri, USA",USA,0,0,6,0,2.54,Jessica-Rose Clark,125,6,0,2.54
UFC Fight Night: Stephens vs. Choi,Kamaru Usman,Emil Meek,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,50,66,0.75,112,132,0.85,8,19,0.42,0,0,771,20,4,36,182.88,77.11,193.04,Switch,4.36,2.74,0.52,0.45,0.54,0.89,0.1,2.82,0,30,67,0.44,86,131,0.66,0,0,0,2,0,2,9,5,35,180.34,77.11,187.96,Switch,2.52,2.53,0.39,0.33,0.38,0.47,1,0.25,0,20,-1,0.31,26,1,0.19,8,19,0.42,-2,0,769,11,-1,1,2.54,0,5.08,1.84,0.21,0.13,0.12,0.16,0.42,-0.9,2.57,1/14/2018,-750,525,"St. Louis, Missouri, USA",USA,0,0,1,0,5.08,Kamaru Usman,170,1,0,5.08
UFC Fight Night: Stephens vs. Choi,Darren Elkins,Michael Johnson,Red,Featherweight,0,Men,Submission,2,3,142,Dan Miragliotta,0,18,64,0.28,54,108,0.5,1,4,0.25,1,0,121,28,11,39,177.8,65.77,180.34,Orthodox,3.44,3.27,0.38,0.35,0.52,0.56,1.1,2.85,0,45,98,0.45,46,99,0.46,0,0,0,0,0,0,23,19,37,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0,0.62,0,-27,-34,-0.17,8,9,0.04,1,4,0.25,1,0,121,5,-8,2,0,-4.54,-5.08,-0.83,-0.56,-0.01,-0.06,-0.05,-0.25,1.1,2.23,1/14/2018,175,-210,"St. Louis, Missouri, USA",USA,0,0,2,0,-5.08,Darren Elkins,145,2,0,-5.08
UFC Fight Night: Stephens vs. Choi,James Krause,Alex White,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Mario Yamasaki,0,35,67,0.52,56,93,0.6,3,11,0.27,2,1,609,28,9,37,187.96,77.11,185.42,Orthodox,4.79,4.11,0.49,0.18,0.61,0.59,0.9,0.96,0,56,127,0.44,97,175,0.55,1,1,1,0,0,53,13,6,35,182.88,70.31,180.34,Southpaw,3.76,3.07,0.42,0.28,0.6,0.71,0.5,0.92,0,-21,-60,0.08,-41,-82,0.05,2,10,-0.73,2,1,556,15,3,2,5.08,6.8,5.08,1.03,1.04,0.07,-0.1,0.01,-0.12,0.4,0.04,1/14/2018,-180,158,"St. Louis, Missouri, USA",USA,0,0,2,0,5.08,James Krause,155,2,0,5.08
UFC Fight Night: Stephens vs. Choi,Talita Bernardo,Irene Aldana,Blue,Women's Bantamweight,0,Women,Decision - Unanimous,3,3,300,Mario Yamasaki,0,46,87,0.52,74,119,0.62,1,11,0.09,0,1,357,6,4,37,162.56,61.23,172.72,Orthodox,3.12,4.04,0.42,0.22,0.55,0.28,0.5,1.62,0,70,171,0.4,148,258,0.57,1,2,0.5,0,3,86,15,7,36,175.26,61.23,172.72,Orthodox,5.24,6.33,0.4,0.5,0.57,0.76,0.2,0.16,0,-24,-84,0.12,-74,-139,0.05,0,9,-0.41,0,-2,271,-9,-3,1,-12.7,0,0,-2.12,-2.29,0.02,-0.28,-0.02,-0.48,0.3,1.46,1/14/2018,115,-135,"St. Louis, Missouri, USA",USA,0,0,1,0,0,Irene Aldana,135,1,0,0
UFC Fight Night: Stephens vs. Choi,Kyung Ho Kang,Guido Cannetti,Red,Bantamweight,0,Men,Submission,1,3,293,Marc Wasem,0,3,11,0.27,28,36,0.78,1,2,0.5,1,0,38,19,10,36,175.26,61.23,185.42,Orthodox,3.35,3.33,0.48,0.57,0.55,0.68,0.8,1.87,0,19,39,0.48,22,42,0.52,1,2,0.5,0,0,87,10,8,44,167.64,61.23,172.72,Southpaw,3.44,2.84,0.55,0.55,0.51,0.64,0.4,2.27,0,-16,-28,-0.21,6,-6,0.26,0,0,0,1,0,-49,9,2,-8,7.62,0,12.7,-0.09,0.49,-0.07,0.02,0.04,0.04,0.4,-0.4,1/14/2018,-290,245,"St. Louis, Missouri, USA",USA,0,0,8,0,12.7,Kyung Ho Kang,135,8,0,12.7
UFC Fight Night: Stephens vs. Choi,Kalindra Faria,Jessica Eye,Blue,Women's Flyweight,0,Women,Decision - Split,3,3,300,Dan Miragliotta,0,38,70,0.54,52,91,0.57,1,2,0.5,1,0,63,18,8,37,170.18,56.7,NA,Switch,2.23,1.44,0.56,0.66,0.45,0.2,0.7,1.31,0,25,49,0.51,53,86,0.62,3,4,0.75,6,0,384,15,11,37,167.64,56.7,167.64,Orthodox,3.86,4.19,0.37,0.4,0.55,0.57,0.5,0.58,0,13,21,0.03,-1,5,-0.05,-2,-2,-0.25,-5,0,-321,3,-3,0,2.54,0,NA,-1.63,-2.75,0.19,0.26,-0.1,-0.37,0.2,0.73,1/14/2018,115,-135,"St. Louis, Missouri, USA",USA,0,0,0,0,NA,Jessica Eye,125,0,0,NA
UFC Fight Night: Stephens vs. Choi,Danielle Taylor,JJ Aldrich,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3,300,Keith Peterson,0,38,136,0.27,64,163,0.39,0,1,0,0,0,0,9,4,34,152.4,52.16,152.4,Orthodox,2.75,3.31,0.29,0.2,0.71,0.7,0.2,0.2,0,54,150,0.36,67,164,0.41,1,5,0.2,0,0,112,13,6,31,165.1,56.7,170.18,Southpaw,4.05,4.53,0.46,0.25,0.6,0.66,0,0.71,0,-16,-14,-0.09,-3,-1,-0.02,-1,-4,-0.2,0,0,-112,-4,-2,3,-12.7,-4.54,-17.78,-1.3,-1.22,-0.17,-0.05,0.11,0.04,0.2,-0.51,1/14/2018,110,-130,"St. Louis, Missouri, USA",USA,0,0,3,0,-17.78,JJ Aldrich,115,3,0,-17.78
UFC Fight Night: Stephens vs. Choi,Mads Burnell,Mike Santiago,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Marc Wasem,0,20,34,0.58,110,169,0.65,3,7,0.42,1,1,553,9,3,30,172.72,65.77,175.26,Orthodox,1.28,2.71,0.41,0.47,0.51,0.22,0.4,3.45,0,51,79,0.64,95,127,0.75,3,3,1,2,1,271,19,12,34,177.8,65.77,175.26,Orthodox,3.44,3.58,0.49,0.5,0.36,0.53,1.1,2.66,0,-31,-45,-0.06,15,42,-0.1,0,4,-0.58,-1,0,282,-10,-9,-4,-5.08,0,0,-2.16,-0.87,-0.08,-0.03,0.15,-0.31,-0.7,0.79,1/14/2018,165,-190,"St. Louis, Missouri, USA",USA,0,0,4,0,0,Mads Burnell,145,4,0,0
UFC 219: Cyborg vs. Holm,Khabib Nurmagomedov,Edson Barboza,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,John McCarthy,0,89,177,0.5,154,246,0.63,4,13,0.3,0,0,632,29,0,35,177.8,70.31,177.8,Orthodox,4.1,1.75,0.48,0.48,0.65,0.84,0.8,5.32,0,25,76,0.32,25,77,0.32,0,0,0,0,0,0,24,11,38,180.34,65.77,190.5,Orthodox,4.18,4.34,0.45,0.5,0.57,0.75,0.1,0.48,0,64,101,0.18,129,169,0.31,4,13,0.3,0,0,632,5,-11,-3,-2.54,4.54,-12.7,-0.08,-2.59,0.03,-0.02,0.08,0.09,0.7,4.84,12/30/2017,-410,330,"Las Vegas, Nevada, USA",USA,4,7,3,3,-12.7,Khabib Nurmagomedov,155,3,3,-12.7
UFC 219: Cyborg vs. Holm,Dan Hooker,Marc Diakiese,Red,Lightweight,0,Men,Submission,3,3,42,Herb Dean,0,17,40,0.42,24,48,0.5,2,3,0.66,1,0,192,23,12,34,182.88,70.31,190.5,Switch,5.08,4.76,0.48,0.34,0.51,0.8,0.4,0.79,0,24,69,0.34,41,87,0.47,0,5,0,0,1,23,17,7,31,177.8,70.31,185.42,Orthodox,2.54,2.64,0.4,0.43,0.52,0.66,0,3.29,0,-7,-29,0.08,-17,-39,0.03,2,-2,0.66,1,-1,169,6,5,3,5.08,0,5.08,2.54,2.12,0.08,-0.09,-0.01,0.14,0.4,-2.5,12/30/2017,165,-190,"Las Vegas, Nevada, USA",USA,4,1,3,3,5.08,Dan Hooker,155,3,3,5.08
UFC 219: Cyborg vs. Holm,Cynthia Calvillo,Carla Esparza,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3,300,Chris Tognoni,0,38,112,0.33,57,131,0.44,1,3,0.33,0,0,263,9,6,36,162.56,52.16,162.56,Orthodox,4.41,4.12,0.38,0.44,0.64,0.77,0.8,1.8,0,48,138,0.34,62,153,0.41,2,9,0.22,1,1,21,20,7,36,154.94,52.16,160.02,Orthodox,2.16,2.69,0.4,0.35,0.55,0.47,0.3,3.22,0,-10,-26,-0.01,-5,-22,0.03,-1,-6,0.11,-1,-1,242,-11,-1,0,7.62,0,2.54,2.25,1.43,-0.02,0.09,0.09,0.3,0.5,-1.42,12/30/2017,-220,180,"Las Vegas, Nevada, USA",USA,1,1,0,0,2.54,Carla Esparza,115,0,0,2.54
UFC 219: Cyborg vs. Holm,Carlos Condit,Neil Magny,Blue,Welterweight,0,Men,Decision - Unanimous,3,3,300,John McCarthy,0,37,112,0.33,64,140,0.46,0,0,0,0,0,44,32,14,39,187.96,77.11,190.5,Orthodox,3.66,2.67,0.39,0.46,0.55,0.38,1,0.59,0,32,114,0.28,64,150,0.43,6,9,0.66,0,0,309,29,12,36,190.5,77.11,203.2,Orthodox,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17,0,5,-2,0.05,0,-10,0.03,-6,-9,-0.66,0,0,-265,3,2,3,-2.54,0,-12.7,0.19,0.25,-0.07,0.06,0.03,-0.16,0.7,-1.58,12/30/2017,-130,110,"Las Vegas, Nevada, USA",USA,4,3,3,1,-12.7,Neil Magny,170,3,1,-12.7
UFC 219: Cyborg vs. Holm,Louis Smolka,Matheus Nicolau,Blue,Flyweight,0,Men,Decision - Unanimous,3,3,300,John McCarthy,0,49,159,0.3,53,163,0.33,0,1,0,0,0,1,17,9,32,175.26,61.23,172.72,Orthodox,4.67,4.11,0.47,0.35,0.53,0.32,1.8,1.69,3,87,172,0.5,107,196,0.55,3,4,0.75,2,0,259,19,4,31,167.64,56.7,167.64,Orthodox,3.66,3.14,0.53,0.45,0.66,0.93,0.9,1.48,-3,-38,-13,-0.2,-54,-33,-0.22,-3,-3,-0.75,-2,0,-258,-2,5,1,7.62,4.53,5.08,1.01,0.97,-0.06,-0.1,-0.13,-0.61,0.9,0.21,12/30/2017,170,-200,"Las Vegas, Nevada, USA",USA,5,1,1,4,5.08,Matheus Nicolau,125,1,4,5.08
UFC 219: Cyborg vs. Holm,Tim Elliott,Mark De La Rosa,Red,Bantamweight,0,Men,Submission,2,3,101,Chris Tognoni,0,12,24,0.5,54,75,0.72,1,1,1,2,2,334,21,13,37,170.18,56.7,167.64,Southpaw,3.39,2.66,0.44,0.47,0.56,0.59,1,3.73,0,2,4,0.5,4,6,0.67,0,0,0,0,0,31,11,5,29,167.64,61.23,165.1,Orthodox,3.13,5,0.35,0.13,0.48,0.4,0.2,0.54,0,10,20,0,50,69,0.05,1,1,1,2,2,303,10,8,8,2.54,-4.53,2.54,0.26,-2.34,0.09,0.34,0.08,0.19,0.8,3.19,12/30/2017,-190,165,"Las Vegas, Nevada, USA",USA,5,1,8,4,2.54,Tim Elliott,135,8,4,2.54
UFC Fight Night: Lawler vs. Dos Anjos,Robbie Lawler,Rafael Dos Anjos,Blue,Welterweight,0,Men,Decision - Unanimous,5,5,300,Herb Dean,0,86,212,0.4,137,267,0.51,0,0,0,0,0,264,30,16,42,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0,0.65,0,172,291,0.59,219,343,0.64,2,7,0.28,0,0,473,32,16,39,172.72,70.31,177.8,Southpaw,3.48,3.21,0.47,0.35,0.6,0.55,0.6,1.95,0,-86,-79,-0.19,-82,-76,-0.13,-2,-7,-0.28,0,0,-209,-2,0,3,7.62,6.8,10.16,0.37,1.46,0,0.29,-0.01,0.1,-0.6,-1.3,12/16/2017,105,-125,"Winnipeg, Manitoba, Canada",Canada,2,6,3,4,10.16,Rafael Dos Anjos,170,3,4,10.16
UFC Fight Night: Lawler vs. Dos Anjos,Ricardo Lamas,Josh Emmett,Blue,Featherweight,0,Men,KO/TKO,1,3,273,Jerin Valel,0,17,37,0.45,17,37,0.46,0,0,0,0,0,0,20,8,41,172.72,65.77,180.34,Orthodox,3.13,2.87,0.47,0.33,0.57,0.46,0.9,1.84,1,10,38,0.26,10,38,0.26,0,0,0,0,0,0,19,4,39,167.64,65.77,177.8,Orthodox,4.04,4.61,0.36,0.37,0.61,0.46,0.1,0.91,-1,7,-1,0.19,7,-1,0.2,0,0,0,0,0,0,1,4,2,5.08,0,2.54,-0.91,-1.74,0.11,-0.04,-0.04,0,0.8,0.93,12/16/2017,-290,245,"Winnipeg, Manitoba, Canada",Canada,6,1,2,5,2.54,Josh Emmett,145,2,5,2.54
UFC Fight Night: Lawler vs. Dos Anjos,Santiago Ponzinibbio,Mike Perry,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Yves Lavigne,1,78,200,0.39,81,203,0.4,3,3,1,0,0,118,30,7,37,182.88,77.11,185.42,Orthodox,4.9,4.67,0.41,0.3,0.61,0.6,0,0.48,0,51,136,0.37,51,136,0.38,1,1,1,0,0,29,14,8,32,177.8,77.11,180.34,Orthodox,4.32,5.16,0.47,0.4,0.52,0.78,0.2,0.81,1,27,64,0.02,30,67,0.02,2,2,0,0,0,89,16,-1,5,5.08,0,5.08,0.58,-0.49,-0.06,-0.1,0.09,-0.18,-0.2,-0.33,12/16/2017,-155,135,"Winnipeg, Manitoba, Canada",Canada,3,3,5,0,5.08,Santiago Ponzinibbio,170,5,0,5.08
UFC Fight Night: Lawler vs. Dos Anjos,Glover Teixeira,Misha Cirkunov,Red,Light Heavyweight,0,Men,KO/TKO,1,3,165,Dan Miragliotta,0,13,21,0.61,13,22,0.59,1,1,1,1,0,44,33,9,44,187.96,92.99,193.04,Orthodox,3.73,4.43,0.49,0.33,0.51,0.6,0.9,2.11,0,21,43,0.48,23,46,0.5,0,0,0,0,0,11,15,9,37,190.5,92.99,195.58,Orthodox,3.86,3.06,0.51,0.39,0.57,0.76,1.7,4.15,0,-8,-22,0.13,-10,-24,0.09,1,1,1,1,0,33,18,0,7,-2.54,0,-2.54,-0.13,1.37,-0.02,-0.06,-0.06,-0.16,-0.8,-2.04,12/16/2017,125,-145,"Winnipeg, Manitoba, Canada",Canada,4,2,7,2,-2.54,Glover Teixeira,205,7,2,-2.54
UFC Fight Night: Lawler vs. Dos Anjos,Jared Cannonier,Jan Blachowicz,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,26,87,0.29,41,103,0.4,0,0,0,0,0,22,17,6,40,180.34,83.91,195.58,Switch,4.68,4.13,0.52,0.42,0.59,0.63,0,0.44,1,50,127,0.39,65,143,0.45,4,5,0.8,0,0,170,29,10,41,187.96,92.99,198.12,Orthodox,3.41,2.91,0.5,0.5,0.53,0.68,0.3,1.09,-1,-24,-40,-0.1,-24,-40,-0.05,-4,-5,-0.8,0,0,-148,-12,-4,-1,-7.62,-9.08,-2.54,1.27,1.22,0.02,-0.08,0.06,-0.05,-0.3,-0.65,12/16/2017,-190,165,"Winnipeg, Manitoba, Canada",Canada,2,3,1,1,-2.54,Jan Blachowicz,205,1,1,-2.54
UFC Fight Night: Lawler vs. Dos Anjos,Julian Marquez,Darren Stewart,Red,Middleweight,0,Men,Submission,2,3,162,Jerin Valel,0,32,64,0.5,37,69,0.54,0,3,0,3,0,52,9,4,33,187.96,83.91,182.88,Orthodox,4.86,4.99,0.44,0,0.51,0.53,2.6,0,0,33,58,0.56,37,66,0.56,4,6,0.66,0,0,205,12,8,33,182.88,92.99,187.96,Orthodox,3.05,3.29,0.45,0.45,0.48,0.67,0.1,1.75,0,-1,6,-0.06,0,3,-0.02,-4,-3,-0.66,3,0,-153,-3,-4,0,5.08,-9.08,-5.08,1.81,1.7,-0.01,-0.45,0.03,-0.14,2.5,-1.75,12/16/2017,-340,280,"Winnipeg, Manitoba, Canada",Canada,0,3,0,3,-5.08,Julian Marquez,185,0,3,-5.08
UFC Fight Night: Lawler vs. Dos Anjos,Chad Laprise,Galore Bofando,Red,Welterweight,0,Men,KO/TKO,1,3,250,Yves Lavigne,0,20,39,0.51,42,66,0.64,1,1,1,0,0,142,13,4,37,177.8,77.11,180.34,Orthodox,4.78,3.59,0.42,0.54,0.65,0.78,0,1.05,1,13,26,0.5,13,26,0.5,0,0,0,0,0,0,5,3,41,180.34,77.11,182.88,Switch,3.63,3.63,0.45,1,0.54,0.5,0,2.37,-1,7,13,0.01,29,40,0.14,1,1,1,0,0,142,8,1,-4,-2.54,0,-2.54,1.15,-0.04,-0.03,-0.46,0.11,0.28,0,-1.32,12/16/2017,-145,125,"Winnipeg, Manitoba, Canada",Canada,1,0,4,1,-2.54,Chad Laprise,170,4,1,-2.54
UFC Fight Night: Lawler vs. Dos Anjos,Nordine Taleb,Danny Roberts,Red,Welterweight,0,Men,KO/TKO,1,3,59,Jerin Valel,1,5,5,1,5,5,1,0,0,0,0,0,0,15,7,42,185.42,77.11,187.96,Orthodox,3.66,2.62,0.51,0.76,0.66,0.73,0,1.94,0,1,4,0.25,1,4,0.25,0,0,0,0,0,0,18,8,36,185.42,77.11,187.96,Southpaw,3.18,3.73,0.39,0.09,0.5,0.57,0.2,0.24,1,4,1,0.75,4,1,0.75,0,0,0,0,0,0,-3,-1,6,0,0,0,0.48,-1.11,0.12,0.67,0.16,0.16,-0.2,1.7,12/16/2017,-155,135,"Winnipeg, Manitoba, Canada",Canada,2,3,6,1,0,Nordine Taleb,170,6,1,0
UFC Fight Night: Lawler vs. Dos Anjos,John Makdessi,Abel Trujillo,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Dan Miragliotta,1,47,104,0.45,57,119,0.48,0,0,0,0,0,0,18,9,38,172.72,70.31,172.72,Orthodox,5.52,4.15,0.49,0,0.68,0.86,0,0,0,29,91,0.31,30,93,0.32,1,6,0.16,0,0,97,15,8,40,172.72,70.31,177.8,Orthodox,2.65,2.31,0.41,0.45,0.59,0.4,0.4,2.18,1,18,13,0.14,27,26,0.16,-1,-6,-0.16,0,0,-97,3,1,-2,0,0,-5.08,2.87,1.84,0.08,-0.45,0.09,0.46,-0.4,-2.18,12/16/2017,125,-145,"Winnipeg, Manitoba, Canada",Canada,4,3,2,1,-5.08,John Makdessi,155,2,1,-5.08
UFC Fight Night: Lawler vs. Dos Anjos,Alessio Di Chirico,Oluwale Bamgbose,Red,Middleweight,0,Men,KO/TKO,2,3,134,Herb Dean,1,6,37,0.16,6,37,0.16,1,1,1,0,0,2,13,7,34,182.88,83.91,187.96,Orthodox,3.32,3.44,0.39,0.39,0.61,0.83,0,1.46,0,10,17,0.58,10,19,0.53,0,1,0,0,0,0,6,4,36,180.34,83.91,198.12,Switch,2.45,2.7,0.48,0.33,0.55,0.37,0,0.94,1,-4,20,-0.42,-4,18,-0.37,1,0,1,0,0,2,7,3,-2,2.54,0,-10.16,0.87,0.74,-0.09,0.06,0.06,0.46,0,0.52,12/16/2017,-160,140,"Winnipeg, Manitoba, Canada",Canada,1,0,2,1,-10.16,Alessio Di Chirico,185,2,1,-10.16
UFC Fight Night: Lawler vs. Dos Anjos,Jordan Mein,Erick Silva,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Yves Lavigne,0,51,127,0.4,97,183,0.53,3,4,0.75,1,0,472,31,12,34,182.88,77.11,185.42,Orthodox,3.35,2.55,0.44,0.58,0.69,0.66,0.2,1.56,0,13,48,0.27,16,51,0.31,0,3,0,0,0,40,19,9,39,182.88,77.11,187.96,Orthodox,2.5,4.18,0.48,0.35,0.49,0.56,1.4,0.85,0,38,79,0.13,81,132,0.22,3,1,0.75,1,0,432,12,3,-5,0,0,-2.54,0.85,-1.63,-0.04,0.23,0.2,0.1,-1.2,0.71,12/16/2017,-160,140,"Winnipeg, Manitoba, Canada",Canada,2,3,5,1,-2.54,Jordan Mein,170,5,1,-2.54
UFC Fight Night: Swanson vs. Ortega,Cub Swanson,Brian Ortega,Blue,Featherweight,0,Men,Submission,2,5,202,Mike Beltran,0,60,97,0.61,60,97,0.62,0,0,0,0,0,14,29,13,40,172.72,65.77,177.8,Orthodox,4.7,3.84,0.5,0.52,0.59,0.61,0.4,1.09,0,24,70,0.34,24,70,0.34,0,1,0,2,0,30,16,3,33,172.72,65.77,175.26,Switch,4.07,6.54,0.38,0.27,0.49,0.57,1.2,1.17,0,36,27,0.27,36,27,0.28,0,-1,0,-2,0,-16,13,10,7,0,0,2.54,0.63,-2.7,0.12,0.25,0.1,0.04,-0.8,-0.08,12/9/2017,100,-120,"Fresno, California, USA",USA,4,2,7,4,2.54,Brian Ortega,145,7,2,2.54
UFC Fight Night: Swanson vs. Ortega,Jason Knight,Gabriel Benitez,Blue,Featherweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,0,36,181,0.19,37,182,0.2,1,9,0.11,0,0,64,20,5,31,177.8,65.77,180.34,Orthodox,2.95,3.02,0.33,0.31,0.51,0.47,1.7,1.31,0,85,192,0.44,91,199,0.46,0,0,0,0,0,77,23,12,35,172.72,70.31,180.34,Southpaw,4.92,4.26,0.41,0.5,0.62,0.55,1,0.24,0,-49,-11,-0.25,-54,-17,-0.26,1,9,0.11,0,0,-13,-3,-7,-4,5.08,-4.54,0,-1.97,-1.24,-0.08,-0.19,-0.11,-0.08,0.7,1.07,12/9/2017,-330,270,"Fresno, California, USA",USA,4,1,4,3,0,Gabriel Benitez,145,4,3,0
UFC Fight Night: Swanson vs. Ortega,Marlon Moraes,Aljamain Sterling,Red,Bantamweight,0,Men,KO/TKO,1,3,67,Mike Bell,2,7,14,0.5,10,17,0.59,0,0,0,0,0,13,23,10,35,167.64,61.23,170.18,Orthodox,3.37,4.53,0.4,0.41,0.54,0.46,0.3,0.87,0,3,10,0.3,3,10,0.3,0,0,0,0,0,0,23,4,34,170.18,65.77,180.34,Orthodox,4.73,2.41,0.52,0.24,0.58,0.45,0.8,1.97,2,4,4,0.2,7,7,0.29,0,0,0,0,0,13,0,6,1,-2.54,-4.54,-10.16,-1.36,2.12,-0.12,0.17,-0.04,0.01,-0.5,-1.1,12/9/2017,-145,135,"Fresno, California, USA",USA,2,2,1,0,-10.16,Marlon Moraes,135,1,0,-10.16
UFC Fight Night: Swanson vs. Ortega,Scott Holtzman,Darrell Horcher,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Mike Beltran,0,49,82,0.59,173,212,0.82,7,11,0.63,0,0,589,14,6,40,175.26,70.31,175.26,Orthodox,4.32,3.66,0.47,0.56,0.55,0.67,0.2,1.88,0,36,63,0.57,60,87,0.69,1,1,1,0,0,100,13,4,36,177.8,70.31,177.8,Southpaw,2.05,4.21,0.44,0.5,0.39,0.47,0.7,0.35,0,13,19,0.02,113,125,0.13,6,10,-0.37,0,0,489,1,2,4,-2.54,0,-2.54,2.27,-0.55,0.03,0.06,0.16,0.2,-0.5,1.53,12/9/2017,-145,125,"Fresno, California, USA",USA,3,1,4,2,-2.54,Scott Holtzman,155,4,2,-2.54
