event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height_in_cm,b_weight_in_kg,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,R_odds,B_odds,location,country,r_total_fights,b_total_fights,age_differential,experience_differential,reach_advantage_diff_in_cm,winner_name,weight_class_numeric,age_difference,experience_diff,reach_advantage_diff
UFC 248: Adesanya vs. Romero,Beneil Dariush,Drakkar Klose,Red,Lightweight,0,Men,KO/TKO,2,3,60,Jason Herzog,1,12,20,0.6,17,28,0.61,1,3,0.33,2,0,261,22,6,34,177.8,70.31,182.88,Southpaw,3.78,2.65,0.48,0.34,0.57,0.8,0.9,1.9,0,15,25,0.6,27,37,0.73,0,0,0,0,0,0,14,2,36,175.26,70.31,177.8,Orthodox,4.33,3.4,0.55,0.3,0.52,0.68,0,1.78,1,-3,-5,0,-10,-9,-0.12,1,3,0.33,2,0,261,8,4,-2,2.54,0,5.08,-0.55,-0.75,-0.07,0.04,0.05,0.12,0.9,0.12,3/7/2020,-162,152,"Las Vegas, Nevada, USA",USA,8,3,2,5,5.08,Beneil Dariush,155,2,5,5.08
UFC 248: Adesanya vs. Romero,Neil Magny,Li Jingliang,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,74,139,0.53,123,188,0.65,4,7,0.57,0,0,306,29,12,36,190.5,77.11,203.2,Orthodox,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17,0,16,62,0.25,16,65,0.25,2,3,0.66,0,0,219,19,8,36,182.88,77.11,180.34,Orthodox,4.46,3.84,0.42,0.41,0.57,0.6,0,1.25,0,58,77,0.28,107,123,0.4,2,4,-0.09,0,0,87,10,4,0,7.62,0,22.86,-0.99,-1.42,0.04,-0.01,-0.05,-0.06,0.3,0.92,3/7/2020,157,-167,"Las Vegas, Nevada, USA",USA,8,5,0,3,22.86,Neil Magny,170,0,3,22.86
UFC 248: Adesanya vs. Romero,Alex Oliveira,Max Griffin,Red,Welterweight,0,Men,Decision - Split,3,3,300,Mark Smith,0,40,77,0.51,61,98,0.62,1,5,0.2,0,0,210,22,12,36,180.34,77.11,193.04,Orthodox,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,23,50,0.46,62,96,0.65,2,3,0.66,0,1,333,20,10,38,180.34,77.11,193.04,Orthodox,3.92,3.81,0.49,0.41,0.57,0.68,0.3,1.45,0,17,27,0.05,-1,2,-0.03,-1,2,-0.46,0,-1,-123,2,2,-2,0,0,0,-0.93,-1.26,0.02,-0.03,-0.11,-0.05,0.3,0.9,3/7/2020,-125,115,"Las Vegas, Nevada, USA",USA,7,5,2,3,0,Alex Oliveira,170,2,2,0
UFC 248: Adesanya vs. Romero,Sean O'Malley,Jose Quinonez,Red,Bantamweight,0,Men,KO/TKO,1,3,122,Dan Miragliotta,0,18,22,0.81,18,22,0.82,0,0,0,0,0,2,18,1,29,180.34,61.23,182.88,Switch,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,0,0,11,0,0,11,0,0,0,0,0,0,0,9,5,33,172.72,61.23,175.26,Southpaw,3.6,3,0.45,0.47,0.64,0.42,0.6,2.7,0,18,11,0.81,18,11,0.82,0,0,0,0,0,2,9,-4,-4,7.62,0,7.62,4.03,0.52,0.16,-0.05,-0.02,0.2,-0.3,-2.35,3/7/2020,-330,300,"Las Vegas, Nevada, USA",USA,2,2,4,0,7.62,Sean O'Malley,135,4,0,7.62
UFC 248: Adesanya vs. Romero,Mark Madsen,Austin Hubbard,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Chris Tognoni,0,15,58,0.25,20,65,0.31,8,12,0.66,0,0,481,12,2,39,172.72,70.31,182.88,Orthodox,3.56,3.97,0.49,0.66,0.52,0.62,0,2.86,0,41,75,0.54,45,79,0.57,0,0,0,0,0,0,16,7,32,177.8,70.31,180.34,Orthodox,3.83,3.37,0.46,0.52,0.56,0.63,0,1.55,0,-26,-17,-0.29,-25,-14,-0.26,8,12,0.66,0,0,481,-4,-5,7,-5.08,0,2.54,-0.27,0.6,0.03,0.14,-0.04,-0.01,0,1.31,3/7/2020,-215,195,"Las Vegas, Nevada, USA",USA,0,0,7,0,2.54,Mark Madsen,155,7,0,2.54
UFC 248: Adesanya vs. Romero,Rodolfo Vieira,Saparbeg Safarov,Red,Middleweight,0,Men,Submission,1,3,178,Jason Herzog,0,5,10,0.5,10,15,0.67,2,2,1,1,0,114,10,2,34,182.88,83.91,185.42,Orthodox,3.19,4.6,0.54,0.3,0.49,1,1.6,4.18,0,5,10,0.5,7,12,0.58,0,0,0,0,0,0,9,3,37,185.42,83.91,198.12,Orthodox,4.03,2.96,0.48,0.41,0.47,0.33,0,2.52,0,0,0,0,3,3,0.09,2,2,1,1,0,114,1,-1,-3,-2.54,0,-12.7,-0.84,1.64,0.06,-0.11,0.02,0.67,1.6,1.66,3/7/2020,-570,480,"Las Vegas, Nevada, USA",USA,0,3,3,3,-12.7,Rodolfo Vieira,185,3,3,-12.7
UFC 248: Adesanya vs. Romero,Gerald Meerschaert,Deron Winn,Red,Middleweight,0,Men,Submission,3,3,133,Keith Peterson,1,86,187,0.45,86,188,0.46,1,1,1,1,0,21,36,17,36,185.42,83.91,195.58,Southpaw,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,0,53,111,0.47,53,111,0.48,1,2,0.5,0,0,11,7,3,34,167.64,83.91,177.8,Orthodox,4.55,6.21,0.44,0.52,0.46,0.4,0,4.28,1,33,76,-0.02,33,77,-0.02,0,-1,0.5,1,0,10,29,14,2,17.78,0,17.78,-1.37,-2.84,0.01,-0.14,0.07,-0.06,1.6,-2.11,3/7/2020,125,-135,"Las Vegas, Nevada, USA",USA,5,1,2,4,17.78,Gerald Meerschaert,185,2,4,17.78
UFC Fight Night: Benavidez vs. Figueiredo,Joseph Benavidez,Deiveson Figueiredo,Blue,Flyweight,0,Men,KO/TKO,2,5,114,Dan Miragliotta,0,46,94,0.48,46,94,0.49,0,2,0,0,0,10,28,8,39,162.56,56.7,165.1,Southpaw,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,1,25,49,0.51,25,49,0.51,1,1,1,1,0,27,22,3,36,165.1,61.23,172.72,Orthodox,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,-1,21,45,-0.03,21,45,-0.02,-1,1,-1,-1,0,-17,6,5,3,-2.54,-4.53,-7.62,0.44,-0.79,-0.21,-0.14,0.1,0.04,-1,-0.24,2/29/2020,-150,130,"Norfolk, Virginia, USA",USA,7,2,3,7,-7.62,Deiveson Figueiredo,125,3,5,-7.62
UFC Fight Night: Benavidez vs. Figueiredo,Felicia Spencer,Zarah Fairn,Red,Women's Featherweight,0,Women,KO/TKO,1,3,217,Dan Miragliotta,0,40,64,0.62,68,98,0.69,1,2,0.5,0,0,141,9,3,33,167.64,65.77,172.72,Orthodox,3.21,4.54,0.48,0.18,0.45,0.27,0.2,1.18,0,13,28,0.46,14,29,0.48,0,0,0,0,0,0,6,6,40,172.72,61.23,182.88,Orthodox,4.55,7.4,0.31,0,0.45,0.6,0,0,0,27,36,0.16,54,69,0.21,1,2,0.5,0,0,141,3,-3,-7,-5.08,4.54,-10.16,-1.34,-2.86,0.17,0.18,0,-0.33,0.2,1.18,2/29/2020,-870,585,"Norfolk, Virginia, USA",USA,0,1,7,1,-10.16,Felicia Spencer,145,7,1,-10.16
UFC Fight Night: Benavidez vs. Figueiredo,Ion Cutelaba,Magomed Ankalaev,Blue,Light Heavyweight,0,Men,KO/TKO,1,3,38,Kevin MacDonald,0,5,11,0.45,5,11,0.45,0,0,0,0,0,0,17,10,30,185.42,92.99,190.5,Southpaw,4.44,3.43,0.43,0.57,0.47,0.76,0,4.17,0,8,12,0.66,8,12,0.67,0,0,0,0,0,0,19,1,31,190.5,92.99,190.5,Orthodox,3.64,2.25,0.53,0.31,0.59,0.86,0,1.02,0,-3,-1,-0.21,-3,-1,-0.22,0,0,0,0,0,0,-2,9,-1,-5.08,0,0,0.8,1.18,-0.1,0.26,-0.12,-0.1,0,3.15,2/29/2020,185,-225,"Norfolk, Virginia, USA",USA,2,2,1,0,0,Magomed Ankalaev,205,1,0,0
